,Date,Word,Clue,Primary Cluster,Cluster,ends in question,number words,length of clue,no alphabet characters,is quote,contains underscore,contains asterisk,contains done,number of non-consecutive periods in clue,is ellipsis in clue,avg word length,number commas in clue,percentage words (other than first word) that are upper-case,number non a-z or 1-9 characters in clue,contains e.g.,contains etc.,quoted clues,contains dir.,"contains ,maybe",contains word before,contains bible clue
2505,9/29/2021,MAGI,Christmas trio,Other,,False,2,14,1,False,False,False,False,0,False,6.5,0,0.5,0.0,False,False,False,False,False,False,False
2572,9/28/2021,ELI,One of football's Mannings,Other,,False,4,26,4,False,False,False,False,0,False,5.75,0,0.25,0.038461538461538464,False,False,False,False,False,False,False
2661,9/27/2021,ART,Paintings and sculptures,Other,,False,3,24,2,False,False,False,False,0,False,7.333333333333333,0,0.0,0.0,False,False,False,False,False,False,False
2677,9/27/2021,SINAI,Peninsula in the Six-Day War,Other,,False,5,28,5,False,False,False,False,0,False,4.8,0,0.4,0.03571428571428571,False,False,False,False,False,False,False
2696,9/26/2021,EAST,"With 27-Down, island nation near Indonesia",Self-Referential,,False,6,42,9,False,False,False,True,0,False,6.166666666666667,1,0.16666666666666666,0.047619047619047616,False,False,False,False,False,False,False
2715,9/26/2021,ELI,"Hebrew name meaning ""ascent""",Other,,False,4,28,5,False,False,False,False,0,False,6.25,0,0.25,0.07142857142857142,False,False,False,False,False,False,False
2746,9/26/2021,ONEBC,End of an era?,Other,,True,4,14,4,False,False,False,False,0,False,2.75,0,0.0,0.07142857142857142,False,False,False,False,False,False,False
2752,9/26/2021,AMEN,"""So true!""",Other,,False,2,10,4,True,False,False,False,0,False,4.5,0,0.0,0.3,False,False,True,False,False,False,False
2907,9/24/2021,TEXT,It might end in an emoji,Other,,False,6,24,5,False,False,False,False,0,False,3.1666666666666665,0,0.16666666666666666,0.0,False,False,False,False,False,False,False
2954,9/23/2021,SON,"Anderson Cooper, to Gloria Vanderbilt",Other,,False,5,37,5,False,False,False,False,0,False,6.6,1,0.8,0.02702702702702703,False,False,False,False,False,False,False
2964,9/23/2021,SETH,Adam and Eve's third child,Other,,False,5,26,5,False,False,False,False,0,False,4.4,0,0.4,0.038461538461538464,False,False,False,False,False,False,False
3018,9/22/2021,ART,Display at the Getty,Other,,False,4,20,3,False,False,False,False,0,False,4.25,0,0.25,0.0,False,False,False,False,False,False,False
3024,9/22/2021,ILE,"___ de la Cité, one end of Paris's Pont Neuf",Other,,False,10,44,15,False,True,False,False,0,False,3.5,1,0.4,0.13636363636363635,False,False,False,False,False,False,False
3035,9/22/2021,AMOS,Book after Joel,Other,,False,3,15,2,False,False,False,False,0,False,4.333333333333333,0,0.6666666666666666,0.0,False,False,False,False,False,False,False
3039,9/22/2021,ARI,Shapiro of NPR,Other,,False,3,14,2,False,False,False,False,0,False,4.0,0,0.6666666666666666,0.0,False,False,False,False,False,False,False
3116,9/21/2021,IONIA,Ancient Greek region on the Aegean,Other,,False,6,34,5,False,False,False,False,0,False,4.833333333333333,0,0.5,0.0,False,False,False,False,False,False,False
3118,9/21/2021,SAYST,"Biblical verb with ""thou""",Other,,False,4,25,5,False,False,False,False,0,False,5.5,0,0.0,0.08,False,False,False,False,False,False,True
3231,9/19/2021,ESAU,Biblical father of Eliphaz,Other,,False,4,26,3,False,False,False,False,0,False,5.75,0,0.5,0.0,False,False,False,False,False,False,True
3237,9/19/2021,EST,Body shop fig.,Other,,False,3,14,3,False,False,False,False,1,False,4.0,0,0.0,0.07142857142857142,False,False,False,False,False,False,False
3261,9/19/2021,CAMEL,Dish at a traditional Bedouin wedding,Other,,False,6,37,5,False,False,False,False,0,False,5.333333333333333,0,0.16666666666666666,0.0,False,False,False,False,False,False,False
3270,9/19/2021,ELON,Musk of SpaceX,Other,,False,3,14,2,False,False,False,False,0,False,4.0,0,0.6666666666666666,0.0,False,False,False,False,False,False,False
3359,9/18/2021,ART,"""___, like morality, consists of drawing the line somewhere"": G. K. Chesterton",Other,,False,12,78,21,False,True,False,False,2,False,5.583333333333333,2,0.25,0.1282051282051282,False,False,False,False,False,False,False
3414,9/17/2021,PEW,Locale for bowed heads,Other,,False,4,22,3,False,False,False,False,0,False,4.75,0,0.25,0.0,False,False,False,False,False,False,False
3472,9/16/2021,THY,Old-fashioned possessive,Other,,False,2,24,2,False,False,False,False,0,False,11.5,0,0.0,0.041666666666666664,False,False,False,False,False,False,False
3565,9/15/2021,EAST,"Steinbeck's ""___ of Eden""",Other,,False,4,25,9,False,True,False,False,0,False,5.5,0,0.5,0.24,False,False,False,False,False,False,False
3592,9/15/2021,GOD,Jupiter or Mars,Other,,False,3,15,2,False,False,False,False,0,False,4.333333333333333,0,0.3333333333333333,0.0,False,False,False,False,False,False,False
3619,9/14/2021,ERAT,"The ""E"" of Q.E.D.",Other,,False,4,17,8,False,False,False,False,3,False,3.5,0,0.5,0.29411764705882354,False,False,False,False,False,False,False
3636,9/14/2021,WEPT,Was lachrymose,Other,,False,2,14,1,False,False,False,False,0,False,6.5,0,0.5,0.0,False,False,False,False,False,False,False
3644,9/14/2021,SHEBA,Biblical queendom,Other,,False,2,17,1,False,False,False,False,0,False,8.0,0,0.0,0.0,False,False,False,False,False,False,True
3649,9/14/2021,EZRA,Cornell who founded Cornell,Other,,False,4,27,3,False,False,False,False,0,False,6.0,0,0.5,0.0,False,False,False,False,False,False,False
3713,9/13/2021,ANT,Tiny hill dweller,Other,,False,3,17,2,False,False,False,False,0,False,5.0,0,0.3333333333333333,0.0,False,False,False,False,False,False,False
3770,9/12/2021,HAM,It may be smoked,Other,,False,4,16,3,False,False,False,False,0,False,3.25,0,0.25,0.0,False,False,False,False,False,False,False
3778,9/12/2021,ARI,"""Midsommar"" director Aster",Other,,False,3,26,4,False,False,False,False,0,False,8.0,0,0.3333333333333333,0.07692307692307693,False,False,False,False,False,False,False
3800,9/12/2021,IONIA,Ancient land in Asia Minor,Other,,False,5,26,4,False,False,False,False,0,False,4.4,0,0.4,0.0,False,False,False,False,False,False,False
3822,9/12/2021,EPIC,"___ Games, company behind Fortnite",Other,,False,5,34,8,False,True,False,False,0,False,6.0,1,0.4,0.11764705882352941,False,False,False,False,False,False,False
3936,9/11/2021,ESAU,Hirsute figure in the Bible,Other,,False,5,27,4,False,False,False,False,0,False,4.6,0,0.2,0.0,False,False,False,False,False,False,True
4058,9/9/2021,ELI,Country music's ___ Young Band,Other,,False,5,30,8,False,True,False,False,0,False,5.2,0,0.6,0.13333333333333333,False,False,False,False,False,False,False
4090,9/8/2021,YEA,Word that rhymes with its exact opposite,Other,,False,7,40,6,False,False,False,False,0,False,4.857142857142857,0,0.14285714285714285,0.0,False,False,False,False,False,False,False
4260,9/6/2021,ELI,Inventor Whitney,Other,,False,2,16,1,False,False,False,False,0,False,7.5,0,1.0,0.0,False,False,False,False,False,False,False
4293,9/5/2021,EVE,"""Gangsta Lovin'"" rapper, 2002",Other,,False,4,29,11,False,False,False,False,0,False,6.5,1,0.25,0.13793103448275862,False,False,False,False,False,False,False
4490,9/3/2021,ADAM,Congressman Kinzinger,Other,,False,2,21,1,False,False,False,False,0,False,10.0,0,1.0,0.0,False,False,False,False,False,False,False
4495,9/3/2021,HOLST,British composer Gustav,Other,,False,3,23,2,False,False,False,False,0,False,7.0,0,0.3333333333333333,0.0,False,False,False,False,False,False,False
4607,9/1/2021,STD,Health class subj.,Other,,False,3,18,3,False,False,False,False,1,False,5.333333333333333,0,0.3333333333333333,0.05555555555555555,False,False,False,False,False,False,False
4620,9/1/2021,PEW,Bench with a back,Other,,False,4,17,3,False,False,False,False,0,False,3.5,0,0.0,0.0,False,False,False,False,False,False,False
4661,8/31/2021,ABEL,Brother of Cain,Other,,False,3,15,2,False,False,False,False,0,False,4.333333333333333,0,0.3333333333333333,0.0,False,False,False,False,False,False,False
4699,8/31/2021,SETH,Brother of Cain,Other,,False,3,15,2,False,False,False,False,0,False,4.333333333333333,0,0.3333333333333333,0.0,False,False,False,False,False,False,False
4779,8/30/2021,ART,Grade school class with crayons,Other,,False,5,31,4,False,False,False,False,0,False,5.4,0,0.2,0.0,False,False,False,False,False,False,False
4800,8/29/2021,OBAMA,Politician with the campaign slogan 30-Across,Other,,False,6,45,8,False,False,False,False,0,False,6.666666666666667,0,0.0,0.022222222222222223,False,False,False,False,False,False,False
4801,8/29/2021,EPIC,Word with poetry or proportions,Other,,False,5,31,4,False,False,False,False,0,False,5.4,0,0.2,0.0,False,False,False,False,False,False,False
4814,8/29/2021,ARI,"Diamondbacks, on scoreboards",Other,,False,3,28,3,False,False,False,False,0,False,8.666666666666666,1,0.0,0.03571428571428571,False,False,False,False,False,False,False
4968,8/28/2021,ASLAN,"Animal personification of Christ, in fiction",Other,,False,6,44,6,False,False,False,False,0,False,6.5,1,0.3333333333333333,0.022727272727272728,False,False,False,False,False,False,False
4989,8/28/2021,ROM,Data storage acronym,Other,,False,3,20,2,False,False,False,False,0,False,6.0,0,0.3333333333333333,0.0,False,False,False,False,False,False,False
5067,8/26/2021,ILE,Suffix with infant,Other,,False,3,18,2,False,False,False,False,0,False,5.333333333333333,0,0.0,0.0,False,False,False,False,False,False,False
5086,8/26/2021,IDOL,"Statue of Ganesha, e.g.",Other,,False,4,23,6,False,False,False,False,2,False,5.0,1,0.5,0.13043478260869565,True,False,False,False,False,False,False
5108,8/26/2021,ART,"""A jealous mistress,"" per Emerson",Other,,False,5,33,7,False,False,False,False,0,False,5.8,1,0.2,0.09090909090909091,False,False,False,False,False,False,False
5158,8/25/2021,YEA,Passing remark?,Other,,True,2,15,2,False,False,False,False,0,False,7.0,0,0.0,0.06666666666666667,False,False,False,False,False,False,False
5209,8/25/2021,THEE,For whom the bell tolls,Other,,False,5,23,4,False,False,False,False,0,False,3.8,0,0.0,0.0,False,False,False,False,False,False,False
5260,8/24/2021,TORAH,It has its genesis in Genesis,Other,,False,6,29,5,False,False,False,False,0,False,4.0,0,0.3333333333333333,0.0,False,False,False,False,False,False,False
5303,8/23/2021,IRONY,"The fact that the Bible is the most shoplifted book in America, e.g.",Other,,False,13,68,15,False,False,False,False,2,False,4.3076923076923075,1,0.15384615384615385,0.04411764705882353,True,False,False,False,False,False,True
5314,8/23/2021,GAZA,Largest city in the Palestinian state,Other,,False,6,37,5,False,False,False,False,0,False,5.333333333333333,0,0.3333333333333333,0.0,False,False,False,False,False,False,False
5538,8/21/2021,ESAU,"""I saw ___, he saw me"" (classic tongue twister line)",Other,,False,10,52,17,False,True,False,False,0,False,4.3,1,0.0,0.15384615384615385,False,False,False,False,False,False,False
5589,8/20/2021,TALENTS,"Singing and dancing, say",Other,,False,4,24,4,False,False,False,False,0,False,5.25,1,0.0,0.041666666666666664,False,False,False,False,False,False,False
5642,8/19/2021,EST,"The ""e"" of ""i.e.""",Other,,False,4,17,9,False,False,False,False,2,False,3.5,0,0.0,0.35294117647058826,False,False,False,False,False,False,False
5727,8/18/2021,ARI,"""Midsommar"" director Aster",Other,,False,3,26,4,False,False,False,False,0,False,8.0,0,0.3333333333333333,0.07692307692307693,False,False,False,False,False,False,False
5790,8/17/2021,SANDAL,Strappy footwear,Other,,False,2,16,1,False,False,False,False,0,False,7.5,0,0.0,0.0,False,False,False,False,False,False,False
5837,8/16/2021,IRAQ,Baghdad's land,Other,,False,2,14,2,False,False,False,False,0,False,6.5,0,0.5,0.07142857142857142,False,False,False,False,False,False,False
5880,8/16/2021,SETH,Late-night host Meyers,Other,,False,3,22,3,False,False,False,False,0,False,6.666666666666667,0,0.3333333333333333,0.045454545454545456,False,False,False,False,False,False,False
5932,8/15/2021,TIS,"""Deck the Halls"" contraction",Other,,False,4,28,5,False,False,False,False,0,False,6.25,0,0.25,0.07142857142857142,False,False,False,False,False,False,False
5934,8/15/2021,INN,Stop along the highway,Other,,False,4,22,3,False,False,False,False,0,False,4.75,0,0.25,0.0,False,False,False,False,False,False,False
6166,8/12/2021,EPIC,To be remembered for all time,Other,,False,6,29,5,False,False,False,False,0,False,4.0,0,0.0,0.0,False,False,False,False,False,False,False
6248,8/11/2021,SWEAR,"Utter hell, say?",Other,,True,3,16,4,False,False,False,False,0,False,4.666666666666667,1,0.3333333333333333,0.125,False,False,False,False,False,False,False
6289,8/11/2021,EVE,"""Killing ___"" (Sandra Oh series)",Other,,False,5,32,11,False,True,False,False,0,False,5.6,0,0.4,0.21875,False,False,False,False,False,False,False
6301,8/10/2021,EZRA,English singer/songwriter George ___,Other,,False,4,36,7,False,True,False,False,0,False,8.25,0,0.25,0.1111111111111111,False,False,False,False,False,False,False
6341,8/10/2021,ASS,Dummkopf,Single Word,,False,1,8,0,False,False,False,False,0,False,8.0,0,0.0,0.0,False,False,False,False,False,False,False
6376,8/9/2021,ELI,___ Lilly & Co.,Other,,False,4,15,8,False,True,False,False,1,False,3.0,0,0.5,0.3333333333333333,False,False,False,False,False,False,False
6382,8/9/2021,LOTS,Divisions of a subdivision,Other,,False,4,26,3,False,False,False,False,0,False,5.75,0,0.0,0.0,False,False,False,False,False,False,False
6477,8/8/2021,EPIC,Legendary,Single Word,,False,1,9,0,False,False,False,False,0,False,9.0,0,0.0,0.0,False,False,False,False,False,False,False
6492,8/8/2021,ESAU,"Jacob's brother, in the Bible",Other,,False,5,29,6,False,False,False,False,0,False,5.0,1,0.4,0.06896551724137931,False,False,False,False,False,False,True
6528,8/8/2021,IDO,Words with a ring to them?,Other,,True,6,26,6,False,False,False,False,0,False,3.5,0,0.0,0.038461538461538464,False,False,False,False,False,False,False
6561,8/7/2021,MOSES,Who had a major part in the Torah?,Other,,True,8,34,8,False,False,False,False,0,False,3.375,0,0.125,0.029411764705882353,False,False,False,False,False,False,False
6663,8/6/2021,HEROD,Judean king,Other,,False,2,11,1,False,False,False,False,0,False,5.0,0,0.5,0.0,False,False,False,False,False,False,False
6689,8/5/2021,ABEL,"His murder elicited the first wail of mourning, in Islamic accounts",Other,,False,11,67,11,False,False,False,False,0,False,5.181818181818182,1,0.09090909090909091,0.014925373134328358,False,False,False,False,False,False,False
6827,8/3/2021,ETH,Biblical suffix with do or go,Other,,False,6,29,5,False,False,False,False,0,False,4.0,0,0.0,0.0,False,False,False,False,False,False,True
7278,7/29/2021,SIMON,See 39-Down,Self-Referential,,False,2,11,4,False,False,False,False,0,False,5.0,0,0.0,0.09090909090909091,False,False,False,False,False,False,False
7302,7/28/2021,SIN,Original ___,Other,,False,2,12,4,False,True,False,False,0,False,5.5,0,0.0,0.25,False,False,False,False,False,False,False
7426,7/27/2021,YEA,Nay's opposite,Other,,False,2,14,2,False,False,False,False,0,False,6.5,0,0.5,0.07142857142857142,False,False,False,False,False,False,False
7453,7/26/2021,ABBA,"First group with a #1 Billboard hit, alphabetically",Other,,False,8,51,10,False,False,False,False,0,False,5.5,1,0.25,0.0392156862745098,False,False,False,False,False,False,False
7485,7/26/2021,MOSES,Leader of the Israelites across the Red Sea,Other,,False,8,43,7,False,False,False,False,0,False,4.5,0,0.375,0.0,False,False,False,False,False,False,False
7522,7/25/2021,NOE,San Francisco's ___ Valley,Other,,False,4,26,7,False,True,False,False,0,False,5.75,0,0.75,0.15384615384615385,False,False,False,False,False,False,False
7598,7/25/2021,EST,Is at the Forum?,Other,,True,4,16,4,False,False,False,False,0,False,3.25,0,0.25,0.0625,False,False,False,False,False,False,False
7603,7/25/2021,ASS,Chump,Single Word,,False,1,5,0,False,False,False,False,0,False,5.0,0,0.0,0.0,False,False,False,False,False,False,False
7829,7/22/2021,HAST,"Biblical verb with ""thou""",Other,,False,4,25,5,False,False,False,False,0,False,5.5,0,0.0,0.08,False,False,False,False,False,False,True
7862,7/21/2021,EZRA,Columnist Klein,Other,,False,2,15,1,False,False,False,False,0,False,7.0,0,0.5,0.0,False,False,False,False,False,False,False
7865,7/21/2021,IDO,"Response to ""Who wants some?""",Other,,False,5,29,7,False,False,False,False,0,False,5.0,0,0.2,0.10344827586206896,False,False,False,False,False,False,False
7911,7/20/2021,REST,One of the R's in R&R,Other,,False,6,21,7,False,False,False,False,0,False,2.6666666666666665,0,0.3333333333333333,0.09523809523809523,False,False,False,False,False,False,False
7969,7/19/2021,HOLY,"""O ___ Night"" (Christmas song)",Other,,False,5,30,11,False,True,False,False,0,False,5.2,0,0.4,0.23333333333333334,False,False,False,False,False,False,False
7998,7/19/2021,ADAM,"""Madam, I'm ___"" (palindromic greeting)",Other,,False,5,39,13,False,True,False,False,0,False,7.0,1,0.2,0.23076923076923078,False,False,False,False,False,False,False
8035,7/19/2021,SIN,Break one of the Ten Commandments,Other,,False,6,33,5,False,False,False,False,0,False,4.666666666666667,0,0.5,0.0,False,False,False,False,False,False,False
8042,7/18/2021,IRAN,Big exporter of saffron,Other,,False,4,23,3,False,False,False,False,0,False,5.0,0,0.0,0.0,False,False,False,False,False,False,False
8061,7/18/2021,TRIO,"The Powerpuff Girls, e.g.",Other,,False,4,25,6,False,False,False,False,2,False,5.5,1,0.5,0.12,True,False,False,False,False,False,False
8147,7/18/2021,ARI,"The Cardinals, on scoreboards",Other,,False,4,29,4,False,False,False,False,0,False,6.5,1,0.25,0.034482758620689655,False,False,False,False,False,False,False
8299,7/15/2021,IDOL,Fan fave,Other,,False,2,8,1,False,False,False,False,0,False,3.5,0,0.5,0.0,False,False,False,False,False,False,False
8304,7/15/2021,HAM,Melodramatist,Single Word,,False,1,13,0,False,False,False,False,0,False,13.0,0,0.0,0.0,False,False,False,False,False,False,False
8310,7/15/2021,AMOS,Book after Joel,Other,,False,3,15,2,False,False,False,False,0,False,4.333333333333333,0,0.6666666666666666,0.0,False,False,False,False,False,False,False
8377,7/14/2021,RED,Hair color of about 2% of the world's population,Other,,False,9,48,11,False,False,False,False,0,False,4.444444444444445,0,0.1111111111111111,0.041666666666666664,False,False,False,False,False,False,False
8401,7/14/2021,ISAAC,Hayes with three Grammys and an Oscar,Other,,False,7,37,6,False,False,False,False,0,False,4.428571428571429,0,0.2857142857142857,0.0,False,False,False,False,False,False,False
8485,7/13/2021,ABEL,Member of the first family,Other,,False,5,26,4,False,False,False,False,0,False,4.4,0,0.2,0.0,False,False,False,False,False,False,False
8666,7/11/2021,SARAH,"___ Gilbert, co-developer of a Covid-19 vaccine",Other,,False,7,47,14,False,True,False,False,0,False,5.857142857142857,1,0.2857142857142857,0.1276595744680851,False,False,False,False,False,False,False
