,number,start_col,start_row,end_col,end_row,clue,"answer (optional column, for checking only)",number_direction,length,answer_certainty,answer_list,placed_answer,coordinate_set,Top_Predicted_Classes
10,27,0,3,2,3,"Clubs often require them, for short",IDS,27-Across,3,,[],,"{(2, 3), (0, 3), (1, 3)}","[('Acronym/short form answer', 0.57), ('Roman numeral', 0.15), ('Foreign language', 0.09)]"
11,28,4,3,7,3,Pool locales,SPAS,28-Across,4,,[],,"{(5, 3), (6, 3), (7, 3), (4, 3)}","[('Foreign language', 0.52), ('Roman numeral', 0.36), ('Straight definition', 0.12)]"
12,29,10,3,12,3,That: Sp.,ESA,29-Across,3,,[],,"{(11, 3), (12, 3), (10, 3)}","[('Roman numeral', 0.32), ('Acronym/short form answer', 0.18), ('Quote phrase to word', 0.11343417825020442)]"
13,30,14,3,20,3,"""Never you worry""",FRETNOT,30-Across,7,,[],,"{(16, 3), (17, 3), (18, 3), (19, 3), (14, 3), (20, 3), (15, 3)}","[('Quote phrase to word', 0.89), ('Foreign language', 0.05), ('Basic fill in the blank', 0.03)]"
14,31,0,4,3,4,Moor,DOCK,31-Across,4,,[],,"{(2, 4), (0, 4), (3, 4), (1, 4)}","[('One word synonym', 1.0)]"
15,33,5,4,10,4,Call into question,IMPUGN,33-Across,6,,[],,"{(7, 4), (8, 4), (10, 4), (5, 4), (6, 4), (9, 4)}","[('Foreign language', 0.4571767713659605), ('Roman numeral', 0.26282322863403945), ('Biblical', 0.14)]"
16,36,12,4,20,4,Bouquet,FRAGRANCE,36-Across,9,,[],,"{(12, 4), (18, 4), (13, 4), (19, 4), (14, 4), (20, 4), (15, 4), (16, 4), (17, 4)}","[('One word synonym', 1.0)]"
17,38,2,5,4,5,Break up clods,HOE,38-Across,3,,[],,"{(4, 5), (2, 5), (3, 5)}","[('Roman numeral', 0.24282322863403943), ('Acronym/short form answer', 0.2), ('Straight definition', 0.17)]"
18,40,6,5,10,5,"Bolívar who was known as ""the Liberator""",SIMON,40-Across,5,,[],,"{(10, 5), (6, 5), (9, 5), (7, 5), (8, 5)}","[('Find name given profession/reference', 0.48), ('Roman numeral', 0.27), ('Pun indicated by question mark', 0.07)]"
19,41,12,5,15,5,"Evening, to Yves",SOIR,41-Across,4,,[],,"{(12, 5), (13, 5), (14, 5), (15, 5)}","[('Roman numeral', 0.5), ('Foreign language', 0.27), ('Clever synonyms and examples', 0.06)]"
20,42,18,5,20,5,Reggae-like genre,SKA,42-Across,3,,[],,"{(20, 5), (18, 5), (19, 5)}","[('Roman numeral', 0.37), ('Foreign language', 0.21), ('Find name given profession/reference', 0.1)]"
21,43,0,6,5,6,One looking for missing persons,TRACER,43-Across,6,,[],,"{(4, 6), (0, 6), (2, 6), (5, 6), (3, 6), (1, 6)}","[('Foreign language', 0.24), ('Pun indicated by question mark', 0.22), ('Roman numeral', 0.15)]"
22,46,7,6,11,6,"Singer White with the 1991 #1 hit ""Romantic""",KARYN,46-Across,5,,[],,"{(9, 6), (11, 6), (7, 6), (10, 6), (8, 6)}","[('Find name given profession/reference', 0.88), ('Roman numeral', 0.07), ('Quote fill in the blank', 0.02)]"
23,48,13,6,16,6,Actress de Matteo,DREA,48-Across,4,,[],,"{(14, 6), (15, 6), (13, 6), (16, 6)}","[('Find name given profession/reference', 0.8843262879788639), ('Encyclopedia lookup', 0.09), ('Roman numeral', 0.025673712021136063)]"
24,50,18,6,20,6,Inits. on some handbags,YSL,50-Across,3,,[],,"{(20, 6), (18, 6), (19, 6)}","[('Acronym/short form answer', 0.19), ('Example of a class', 0.15), ('Foreign language', 0.14)]"
25,51,0,7,7,7,Two-colored,BICHROME,51-Across,8,,[],,"{(0, 7), (7, 7), (2, 7), (3, 7), (5, 7), (6, 7), (1, 7), (4, 7)}","[('One word synonym', 0.26), ('Pun indicated by question mark', 0.25), ('Roman numeral', 0.13541316526610644)]"
26,53,9,7,13,7,Model world,GLOBE,53-Across,5,,[],,"{(11, 7), (12, 7), (13, 7), (10, 7), (9, 7)}","[('Find name given profession/reference', 0.87), ('Foreign language', 0.05), ('Acronym/short form answer', 0.04)]"
27,55,15,7,18,7,End-of-semester form: Abbr.,EVAL,55-Across,4,,[],,"{(16, 7), (17, 7), (15, 7), (18, 7)}","[('Acronym/short form answer', 0.62), ('Foreign language', 0.15), ('Find name given profession/reference', 0.08)]"
28,57,0,8,2,8,"Flick, as a cigarette, informally",ASH,57-Across,3,,[],,"{(0, 8), (1, 8), (2, 8)}","[('Roman numeral', 0.32), ('Foreign language', 0.14), ('Acronym/short form answer', 0.13)]"
29,58,4,8,6,8,Disappearing sculpture medium,ICE,58-Across,3,,[],,"{(6, 8), (4, 8), (5, 8)}","[('Foreign language', 0.2945868347338936), ('Roman numeral', 0.18541316526610643), ('Encyclopedia lookup', 0.16900371879704082)]"
30,59,8,8,13,8,Big name in jet skis,SEADOO,59-Across,6,,[],,"{(13, 8), (8, 8), (10, 8), (9, 8), (11, 8), (12, 8)}","[('Roman numeral', 0.32), ('Foreign language', 0.27), ('Acronym/short form answer', 0.11)]"
31,60,15,8,19,8,Gumption,NERVE,60-Across,5,,[],,"{(19, 8), (15, 8), (16, 8), (17, 8), (18, 8)}","[('One word synonym', 0.9869111453563566), ('Roman numeral', 0.0130888546436435)]"
32,62,0,9,2,9,___ hall,REC,62-Across,3,,[],,"{(2, 9), (0, 9), (1, 9)}","[('Basic fill in the blank', 0.9392613115417892), ('Foreign language fill in the blank', 0.04073868845821083), ('Members of a class', 0.01)]"
33,63,4,9,8,9,Stylish flair,ECLAT,63-Across,5,,[],,"{(4, 9), (7, 9), (8, 9), (5, 9), (6, 9)}","[('Straight definition', 0.55), ('Foreign language', 0.26396602708169675), ('Roman numeral', 0.14603397291830325)]"
34,65,10,9,13,9,Square type,NERD,65-Across,4,,[],,"{(10, 9), (13, 9), (11, 9), (12, 9)}","[('Roman numeral', 0.4324372452297593), ('Foreign language', 0.21756275477024067), ('Acronym/short form answer', 0.18)]"
35,66,15,9,20,9,Necessities for drug approvals,TRIALS,66-Across,6,,[],,"{(16, 9), (17, 9), (18, 9), (19, 9), (20, 9), (15, 9)}","[('Foreign language', 0.19), ('Roman numeral', 0.17), ('Find name given profession/reference', 0.13)]"
36,68,2,10,10,10,English landing spot,AERODROME,68-Across,9,,[],,"{(9, 10), (4, 10), (7, 10), (2, 10), (8, 10), (3, 10), (10, 10), (5, 10), (6, 10)}","[('Foreign language', 0.38), ('Find first name given last name', 0.15), ('Straight definition', 0.13)]"
37,71,12,10,15,10,Seat for the Queen?,ARSE,71-Across,4,,[],,"{(12, 10), (13, 10), (14, 10), (15, 10)}","[('Pun indicated by question mark', 0.66), ('Find name given profession/reference', 0.21), ('Roman numeral', 0.07)]"
38,73,17,10,20,10,Egyptian symbol of life,ANKH,73-Across,4,,[],,"{(18, 10), (20, 10), (19, 10), (17, 10)}","[('Foreign language', 0.27), ('Roman numeral', 0.23), ('Example of a class', 0.22)]"
39,74,0,11,3,11,Stick with it!,FORK,74-Across,4,,[],,"{(1, 11), (2, 11), (0, 11), (3, 11)}","[('Roman numeral', 0.2928232286340394), ('Foreign language', 0.28717677136596054), ('Pun indicated by question mark', 0.12)]"
40,76,6,11,9,11,"John Cho's role in ""Star Trek"" films",SULU,76-Across,4,,[],,"{(9, 11), (7, 11), (8, 11), (6, 11)}","[('Find name given profession/reference', 0.36), ('Roman numeral', 0.33), ('Foreign language', 0.11)]"
41,77,12,11,15,11,Level,TIER,77-Across,4,,[],,"{(15, 11), (12, 11), (13, 11), (14, 11)}","[('One word synonym', 1.0)]"
42,78,17,11,20,11,Spill the tea,DISH,78-Across,4,,[],,"{(17, 11), (20, 11), (18, 11), (19, 11)}","[('Roman numeral', 0.4128232286340395), ('Foreign language', 0.16717677136596054), ('Straight definition', 0.13)]"
43,79,0,12,5,12,Hits high notes in high places,YODELS,79-Across,6,,[],,"{(1, 12), (4, 12), (0, 12), (2, 12), (3, 12), (5, 12)}","[('Roman numeral', 0.3), ('Foreign language', 0.25), ('Acronym/short form answer', 0.13)]"
44,82,7,12,11,12,Suit,BEFIT,82-Across,5,,[],,"{(9, 12), (11, 12), (7, 12), (8, 12), (10, 12)}","[('One word synonym', 1.0)]"
45,85,13,12,18,12,Setting of two Shakespeare plays,VERONA,85-Across,6,,[],,"{(16, 12), (17, 12), (18, 12), (13, 12), (14, 12), (15, 12)}","[('Roman numeral', 0.35), ('Foreign language', 0.27), ('Acronym/short form answer', 0.11)]"
46,87,0,13,2,13,Some coding statements,IFS,87-Across,3,,[],,"{(0, 13), (1, 13), (2, 13)}","[('Example of a class', 0.68), ('Foreign language', 0.18), ('Find name given profession/reference', 0.05)]"
47,88,4,13,13,13,"Edith Wharton's ""ruin of a man""",ETHANFROME,88-Across,10,,[],,"{(9, 13), (4, 13), (11, 13), (12, 13), (7, 13), (10, 13), (5, 13), (8, 13), (13, 13), (6, 13)}","[('Find name given profession/reference', 0.37), ('Roman numeral', 0.27), ('Foreign language', 0.12)]"
48,91,15,13,20,13,Nautical agreement,AYEAYE,91-Across,6,,[],,"{(16, 13), (17, 13), (20, 13), (15, 13), (18, 13), (19, 13)}","[('Colloquial translation of phrase', 0.42774040277823133), ('Example of a class', 0.23717954859427937), ('Straight definition', 0.14903953200781758)]"
49,94,3,14,6,14,"Bearer of roses, maybe",BEAU,94-Across,4,,[],,"{(5, 14), (3, 14), (6, 14), (4, 14)}","[('Clever synonyms and examples', 0.99), ('Members of a class', 0.01)]"
50,95,10,14,12,14,Word with American or amber,ALE,95-Across,3,,[],,"{(11, 14), (12, 14), (10, 14)}","[('Foreign language', 0.41), ('Roman numeral', 0.18), ('Find name given profession/reference', 0.11)]"
51,96,14,14,16,14,Whiz,ACE,96-Across,3,,[],,"{(16, 14), (14, 14), (15, 14)}","[('One word synonym', 1.0)]"
52,97,18,14,20,14,"Aunt ___ (role on ""The Fresh Prince of Bel-Air"")",VIV,97-Across,3,,[],,"{(19, 14), (20, 14), (18, 14)}","[('Proper noun fill in the blank', 0.59), ('Quote fill in the blank', 0.19), ('Analogy fill in the blank', 0.07)]"
53,98,0,15,15,15,Habitual fear of being exposed as a fraud,IMPOSTERSYNDROME,98-Across,16,,[],,"{(10, 15), (5, 15), (6, 15), (1, 15), (14, 15), (9, 15), (4, 15), (0, 15), (11, 15), (12, 15), (7, 15), (2, 15), (13, 15), (8, 15), (3, 15), (15, 15)}","[('Roman numeral', 0.31), ('Foreign language', 0.2), ('Find name given profession/reference', 0.16)]"
54,105,17,15,20,15,"N.F.L. star Elliott, to fans",ZEKE,105-Across,4,,[],,"{(18, 15), (20, 15), (19, 15), (17, 15)}","[('Clever synonyms and exampless and examples', 0.27), ('Roman numeral', 0.15), ('Foreign language', 0.1)]"
55,106,0,16,4,16,Edify,TEACH,106-Across,5,,[],,"{(4, 16), (0, 16), (2, 16), (3, 16), (1, 16)}","[('One word synonym', 1.0)]"
56,107,6,16,9,16,Rikishi's sport,SUMO,107-Across,4,,[],,"{(9, 16), (7, 16), (8, 16), (6, 16)}","[('Acronym/short form answer', 0.25), ('Roman numeral', 0.18), ('Pun indicated by question mark', 0.13)]"
57,108,12,16,14,16,"""Don't be that ___""",GUY,108-Across,3,,[],,"{(12, 16), (13, 16), (14, 16)}","[('Basic fill in the blank', 0.6), ('Quote phrase to word', 0.2), ('Quote fill in the blank', 0.17)]"
58,109,16,16,20,16,Part of a skin-care routine,TONER,109-Across,5,,[],,"{(16, 16), (17, 16), (18, 16), (19, 16), (20, 16)}","[('Roman numeral', 0.51), ('Foreign language', 0.2), ('Pun indicated by question mark', 0.09)]"
59,110,0,17,4,17,"First pope to be called ""the Great""",STLEO,110-Across,5,,[],,"{(2, 17), (3, 17), (1, 17), (4, 17), (0, 17)}","[('Find name given profession/reference', 0.57), ('Roman numeral', 0.18), ('Biblical', 0.07)]"
60,111,7,17,13,17,Dillydallies,DAWDLES,111-Across,7,,[],,"{(12, 17), (7, 17), (13, 17), (8, 17), (10, 17), (9, 17), (11, 17)}","[('One word synonym', 1.0)]"
61,114,15,17,20,17,"""In Search of Lost Time"" novelist",PROUST,114-Across,6,,[],,"{(17, 17), (18, 17), (19, 17), (20, 17), (15, 17), (16, 17)}","[('Find name given profession/reference', 0.89), ('Foreign language', 0.04), ('Roman numeral', 0.04)]"
62,115,1,18,18,18,Aphorism that's visually depicted five times in this puzzle's grid,ALLROADSLEADTOROME,115-Across,18,,[],,"{(6, 18), (1, 18), (16, 18), (14, 18), (11, 18), (15, 18), (9, 18), (4, 18), (18, 18), (2, 18), (13, 18), (8, 18), (3, 18), (17, 18), (12, 18), (7, 18), (10, 18), (5, 18)}","[('Roman numeral', 0.34), ('Foreign language', 0.17), ('Find name given profession/reference', 0.15)]"
63,119,1,19,6,19,Pros with floors,TILERS,119-Across,6,,[],,"{(4, 19), (2, 19), (3, 19), (5, 19), (6, 19), (1, 19)}","[('Straight definition', 0.28575757575757577), ('Foreign language', 0.25717677136596057), ('Roman numeral', 0.15282322863403944)]"
64,120,8,19,11,19,Unit of cauliflower,HEAD,120-Across,4,,[],,"{(8, 19), (11, 19), (9, 19), (10, 19)}","[('Encyclopedia lookup', 0.29), ('Roman numeral', 0.17567371202113605), ('Foreign language', 0.15)]"
65,121,13,19,17,19,"Split, then come together?",ELOPE,121-Across,5,,[],,"{(16, 19), (17, 19), (13, 19), (14, 19), (15, 19)}","[('Pun indicated by question mark', 0.48), ('Roman numeral', 0.19), ('Clever synonyms and examples', 0.13)]"
66,122,2,20,6,20,Ultimate needs,DISCS,122-Across,5,,[],,"{(2, 20), (3, 20), (6, 20), (5, 20), (4, 20)}","[('Foreign language', 0.45399554254183483), ('Biblical', 0.26), ('Roman numeral', 0.14600445745816518)]"
67,123,9,20,11,20,Parched,DRY,123-Across,3,,[],,"{(11, 20), (9, 20), (10, 20)}","[('One word synonym', 1.0)]"
68,124,13,20,17,20,Apply (to),REFER,124-Across,5,,[],,"{(16, 20), (17, 20), (13, 20), (14, 20), (15, 20)}","[('Roman numeral', 0.45), ('Foreign language', 0.13), ('Pun indicated by question mark', 0.08)]"
69,1,0,0,0,4,Rosebud ravager,APHID,1-Down,5,,[],,"{(0, 1), (0, 4), (0, 0), (0, 3), (0, 2)}","[('Colloquial translation of phrase', 0.3885978289932806), ('Example of a class', 0.23830261157930713), ('Encyclopedia lookup', 0.21989649433107264)]"
70,2,1,0,1,4,"Latin for ""I believe""",CREDO,2-Down,5,,[],,"{(1, 2), (1, 1), (1, 4), (1, 0), (1, 3)}","[('Roman numeral', 0.2), ('Foreign language', 0.18), ('Acronym/short form answer', 0.13)]"
71,3,2,0,2,13,Some black-and-white pictures,RORSCHACHCARDS,3-Down,14,,[],,"{(2, 4), (2, 1), (2, 7), (2, 10), (2, 0), (2, 13), (2, 3), (2, 9), (2, 6), (2, 12), (2, 2), (2, 5), (2, 11), (2, 8)}","[('Foreign language', 0.2), ('Acronym/short form answer', 0.17), ('Roman numeral', 0.16)]"
72,4,3,0,3,2,"Prone to brooding, say",EMO,4-Down,3,,[],,"{(3, 1), (3, 2), (3, 0)}","[('Roman numeral', 0.31), ('Foreign language', 0.19), ('Clever synonyms and examples', 0.17)]"
73,5,4,0,4,3,Scatters,SOWS,5-Down,4,,[],,"{(4, 0), (4, 1), (4, 2), (4, 3)}","[('One word synonym', 0.9869111453563566), ('Roman numeral', 0.0130888546436435)]"
74,6,6,0,6,5,Stacey of Georgia politics,ABRAMS,6-Down,6,,[],,"{(6, 2), (6, 5), (6, 1), (6, 4), (6, 0), (6, 3)}","[('Foreign language', 0.2), ('Roman numeral', 0.18723978086809948), ('Find name given profession/reference', 0.18276021913190058)]"
75,7,7,0,7,7,"Easternmost leg of I-90, familiarly",MASSPIKE,7-Down,8,,[],,"{(7, 4), (7, 1), (7, 7), (7, 0), (7, 3), (7, 6), (7, 2), (7, 5)}","[('Roman numeral', 0.26), ('Find name given profession/reference', 0.2), ('Foreign language', 0.16)]"
76,8,8,0,8,2,Suffix with fool or fiend,ISH,8-Down,3,,[],,"{(8, 2), (8, 0), (8, 1)}","[('Foreign language', 0.33), ('Roman numeral', 0.2), ('Find name given profession/reference', 0.12)]"
77,9,9,0,9,2,Opus ___,DEI,9-Down,3,,[],,"{(9, 0), (9, 1), (9, 2)}","[('Proper noun fill in the blank', 0.4872146512965588), ('Basic fill in the blank', 0.3168957712279754), ('Foreign language fill in the blank', 0.1958895774754658)]"
78,10,11,0,11,3,Dance shoe attachments,TAPS,10-Down,4,,[],,"{(11, 1), (11, 2), (11, 3), (11, 0)}","[('Find name given profession/reference', 0.31), ('Foreign language', 0.2945868347338936), ('Acronym/short form answer', 0.15)]"
79,11,12,0,12,5,Bundles,SHEAFS,11-Down,6,,[],,"{(12, 4), (12, 1), (12, 0), (12, 3), (12, 2), (12, 5)}","[('One word synonym', 1.0)]"
80,12,13,0,13,2,Put on,AIR,12-Down,3,,[],,"{(13, 2), (13, 0), (13, 1)}","[('Roman numeral', 0.35), ('Straight definition', 0.18), ('Foreign language', 0.16)]"
81,13,15,0,15,15,Home of the Simpson and Flanders households,EVERGREENTERRACE,13-Down,16,,[],,"{(15, 5), (15, 11), (15, 8), (15, 14), (15, 4), (15, 1), (15, 7), (15, 13), (15, 10), (15, 0), (15, 6), (15, 3), (15, 9), (15, 12), (15, 2), (15, 15)}","[('Find name given profession/reference', 0.47), ('Roman numeral', 0.18), ('Foreign language', 0.09)]"
82,14,16,0,16,4,Rocker Bob with 10 top 10 albums,SEGER,14-Down,5,,[],,"{(16, 0), (16, 3), (16, 2), (16, 4), (16, 1)}","[('Roman numeral', 0.45), ('Find name given profession/reference', 0.31), ('Acronym/short form answer', 0.09)]"
83,15,17,0,17,4,Casper competitor,SERTA,15-Down,5,,[],,"{(17, 1), (17, 0), (17, 3), (17, 2), (17, 4)}","[('Straight definition', 0.32515235047323027), ('Find name given profession/reference', 0.32), ('Colloquial translation of phrase', 0.1889622142769545)]"
84,20,18,1,18,18,One side of D.C.'s Federal Triangle,PENNSYLVANIAAVENUE,20-Down,18,,[],,"{(18, 4), (18, 17), (18, 1), (18, 7), (18, 10), (18, 16), (18, 13), (18, 3), (18, 9), (18, 6), (18, 12), (18, 18), (18, 2), (18, 15), (18, 5), (18, 11), (18, 8), (18, 14)}","[('Find name given profession/reference', 0.44), ('Roman numeral', 0.14), ('Acronym/short form answer', 0.09)]"
85,21,19,1,19,6,iPhone app with a graph in its icon,STOCKS,21-Down,6,,[],,"{(19, 4), (19, 1), (19, 6), (19, 3), (19, 2), (19, 5)}","[('Roman numeral', 0.26), ('Find name given profession/reference', 0.18), ('Foreign language', 0.15)]"
86,23,5,2,5,4,Nail polish brand,OPI,23-Down,3,,[],,"{(5, 3), (5, 4), (5, 2)}","[('Roman numeral', 0.22282322863403944), ('Foreign language', 0.20717677136596055), ('Find name given profession/reference', 0.18)]"
87,24,10,2,10,10,"Where all the people that come and go stop and say ""hello,"" in a 1967 hit",PENNYLANE,24-Down,9,,[],,"{(10, 5), (10, 8), (10, 4), (10, 7), (10, 10), (10, 6), (10, 3), (10, 9), (10, 2)}","[('Find name given profession/reference', 0.2), ('Roman numeral', 0.18), ('Full name of speaker given quote', 0.1)]"
88,26,20,2,20,6,It's a huge deal,STEAL,26-Down,5,,[],,"{(20, 5), (20, 4), (20, 6), (20, 3), (20, 2)}","[('Roman numeral', 0.64), ('Foreign language', 0.1), ('Pun indicated by question mark', 0.07)]"
89,30,14,3,14,6,State ___,FAIR,30-Down,4,,[],,"{(14, 6), (14, 3), (14, 4), (14, 5)}","[('Basic fill in the blank', 0.9646978622734932), ('Proper noun fill in the blank', 0.03530213772650682)]"
90,32,3,4,3,7,Former N.Y.C. mayor Ed,KOCH,32-Down,4,,[],,"{(3, 7), (3, 4), (3, 5), (3, 6)}","[('Find name given profession/reference', 0.76), ('Acronym/short form answer', 0.08), ('Proper noun fill in the blank', 0.05)]"
91,34,8,4,8,6,Actress Thurman,UMA,34-Down,3,,[],,"{(8, 4), (8, 5), (8, 6)}","[('Find name given profession/reference', 1.0)]"
92,35,9,4,9,8,Locale for a rock climber,GORGE,35-Down,5,,[],,"{(9, 6), (9, 5), (9, 8), (9, 7), (9, 4)}","[('Foreign language', 0.33), ('Roman numeral', 0.24), ('Acronym/short form answer', 0.08)]"
93,37,13,4,13,13,Noted shopping mecca,RODEODRIVE,37-Down,10,,[],,"{(13, 8), (13, 4), (13, 7), (13, 10), (13, 13), (13, 9), (13, 6), (13, 12), (13, 5), (13, 11)}","[('Foreign language', 0.39), ('Find first name given last name', 0.16), ('Straight definition', 0.13)]"
94,39,4,5,4,10,"More like an empty old mansion at night, say",EERIER,39-Down,6,,[],,"{(4, 10), (4, 9), (4, 6), (4, 5), (4, 8), (4, 7)}","[('Roman numeral', 0.44), ('Clever synonyms and examples', 0.14), ('Find name given profession/reference', 0.09)]"
95,43,0,6,0,9,Transport on the slopes,TBAR,43-Down,4,,[],,"{(0, 7), (0, 8), (0, 9), (0, 6)}","[('Roman numeral', 0.25), ('Find name given profession/reference', 0.17), ('Foreign language', 0.14)]"
96,44,1,6,1,9,Stop lying,RISE,44-Down,4,,[],,"{(1, 6), (1, 7), (1, 8), (1, 9)}","[('Straight definition', 0.5), ('Roman numeral', 0.29), ('Colloquial translation of phrase', 0.15)]"
97,45,5,6,5,10,Celebrity chef DiSpirito,ROCCO,45-Down,5,,[],,"{(5, 8), (5, 7), (5, 10), (5, 6), (5, 9)}","[('Find name given profession/reference', 0.8308519701810436), ('Encyclopedia lookup', 0.14914802981895633), ('Foreign language', 0.02)]"
98,47,11,6,11,9,Point in a network,NODE,47-Down,4,,[],,"{(11, 7), (11, 8), (11, 9), (11, 6)}","[('Foreign language', 0.35717677136596054), ('Roman numeral', 0.3228232286340395), ('Straight definition', 0.16)]"
99,49,16,6,16,9,Profess,AVER,49-Down,4,,[],,"{(16, 7), (16, 8), (16, 9), (16, 6)}","[('One word synonym', 1.0)]"
100,52,6,7,6,11,"Combines, in a way",MELDS,52-Down,5,,[],,"{(6, 11), (6, 8), (6, 7), (6, 10), (6, 9)}","[('Roman numeral', 0.34), ('Foreign language', 0.29), ('Acronym/short form answer', 0.15)]"
101,54,12,7,12,11,Fictional documentarian from Kazakhstan,BORAT,54-Down,5,,[],,"{(12, 7), (12, 10), (12, 9), (12, 11), (12, 8)}","[('Roman numeral', 0.24541316526610643), ('Foreign language', 0.23458683473389358), ('Find name given profession/reference', 0.19013129821106187)]"
102,56,17,7,17,13,"Provider of a ball of thread, in myth",ARIADNE,56-Down,7,,[],,"{(17, 7), (17, 10), (17, 13), (17, 9), (17, 12), (17, 11), (17, 8)}","[('Roman numeral', 0.23), ('Foreign language', 0.2), ('Find name given profession/reference', 0.14)]"
103,59,8,8,8,13,Like some cars and kisses,STOLEN,59-Down,6,,[],,"{(8, 8), (8, 10), (8, 13), (8, 9), (8, 12), (8, 11)}","[('Foreign language', 0.24), ('Roman numeral', 0.16), ('Example of a class', 0.14)]"
104,61,19,8,19,11,___ Club,ELKS,61-Down,4,,[],,"{(19, 8), (19, 9), (19, 10), (19, 11)}","[('Basic fill in the blank', 0.9569537587618331), ('Proper noun fill in the blank', 0.03468351496463194)]"
105,64,7,9,7,13,Neighbor of Curaçao,ARUBA,64-Down,5,,[],,"{(7, 10), (7, 13), (7, 9), (7, 12), (7, 11)}","[('Roman numeral', 0.29), ('Pun indicated by question mark', 0.22), ('Encyclopedia lookup', 0.16)]"
106,67,20,9,20,11,Theater rebuke,SHH,67-Down,3,,[],,"{(20, 11), (20, 9), (20, 10)}","[('Foreign language', 0.45399554254183483), ('Biblical', 0.26), ('Roman numeral', 0.14600445745816518)]"
107,69,3,10,3,12,Scratch (out),EKE,69-Down,3,,[],,"{(3, 12), (3, 10), (3, 11)}","[('Roman numeral', 0.34526047386379877), ('Foreign language', 0.18473952613620123), ('Acronym/short form answer', 0.14)]"
108,70,9,10,9,13,Botch,MUFF,70-Down,4,,[],,"{(9, 10), (9, 11), (9, 12), (9, 13)}","[('One word synonym', 1.0)]"
109,72,14,10,14,12,You might be advised to do this for yourself,SEE,72-Down,3,,[],,"{(14, 12), (14, 10), (14, 11)}","[('Roman numeral', 0.27), ('Foreign language', 0.15), ('Pun indicated by question mark', 0.12)]"
110,74,0,11,0,13,"Memo opener, often",FYI,74-Down,3,,[],,"{(0, 12), (0, 13), (0, 11)}","[('Foreign language', 0.38), ('Biblical', 0.3), ('Roman numeral', 0.12)]"
111,75,1,11,1,13,"""That's rough""",OOF,75-Down,3,,[],,"{(1, 11), (1, 12), (1, 13)}","[('Quote phrase to word', 0.95), ('Foreign language', 0.02), ('Acronym/short form answer', 0.01)]"
112,80,4,12,4,20,Downwind locales for ships,LEESHORES,80-Down,9,,[],,"{(4, 16), (4, 13), (4, 19), (4, 12), (4, 15), (4, 18), (4, 14), (4, 17), (4, 20)}","[('Roman numeral', 0.28), ('Foreign language', 0.18), ('Biblical', 0.11)]"
113,81,5,12,5,15,"""Now!""",STAT,81-Down,4,,[],,"{(5, 14), (5, 15), (5, 12), (5, 13)}","[('Quote phrase to word', 0.9935913806863528)]"
