,Clue,Word,Class,Solved_answer,Is answer correct,cleaned_answer
3500,Spanish omelet ingredient,HUEVO,Foreign language,ingrediente de tortilla,FALSE,INGREDIENTEDETORTILLA
3501,Parts of a Spanish omelet,HUEVOS,Foreign language,A partes de,FALSE,APARTESDE
3506,"French ""present""",ICI,Foreign language,"""présent""",FALSE,PRESENT
3892,Spanish valentine sentiment,YOTEAMO,Foreign language,Sentimiento de San Valentín,FALSE,SENTIMIENTODESANVALENTIN
3508,French 55-Down,ICI,Foreign language,"['55-Down', 'Translation uncertain']",FALSE,
3532,Diminutive Spanish name suffix,ITO,Foreign language,['Could not parse foreign language clue'],FALSE,
3584,French word between two surnames,NEE,Foreign language,mot entre deux noms de famille,FALSE,MOTENTREDEUXNOMSDEFAMILLE
3533,Spanish diminutive suffix,ITO,Foreign language,sufijo diminuto,FALSE,SUFIJODIMINUTO
3536,Word in Spanish place names,LAS,Foreign language,Palabra,FALSE,PALABRA
3564,Geographical formation whose name is Spanish for 9-Down,MESA,Foreign language,9 abajo,FALSE,9ABAJO
3565,Spanish Surrealist,MIRO,Foreign language,Surrealista,FALSE,SURREALISTA
3566,Spanish artist Joan,MIRO,Foreign language,artista Joan,FALSE,ARTISTAJOAN
3567,Spanish Surrealist Joan,MIRO,Foreign language,Joan surrealista,FALSE,JOANSURREALISTA
3568,"""The Spanish Playing Cards"" and ""Nude With Mirror""",MIROS,Foreign language,['Could not parse foreign language clue'],FALSE,
3569,Certain Spanish Surrealist paintings,MIROS,Foreign language,['Could not parse foreign language clue'],FALSE,
3570,Some Spanish Surrealist paintings,MIROS,Foreign language,['Could not parse foreign language clue'],FALSE,
3571,Some Spanish Surrealist works,MIROS,Foreign language,['Could not parse foreign language clue'],FALSE,
3572,French pronoun,MOI,Foreign language,pronom,FALSE,PRONOM
3574,French possessive,MON,Foreign language,possessif,FALSE,POSSESSIF
3575,French term of address,MONAMI,Foreign language,terme d'adresse,FALSE,TERMEDADRESSE
3577,French peak,MONT,Foreign language,culminer,FALSE,CULMINER
3578,Italian summit,MONTE,Foreign language,vertice,FALSE,VERTICE
3579,"Mitsubishi model whose name means ""huntsman"" in Spanish",MONTERO,Foreign language,"Modelo Mitsubishi cuyo nombre significa ""cazador""",FALSE,MODELOMITSUBISHICUYONOMBRESIGNIFICACAZADOR
3580,French word between two names,NEE,Foreign language,mot entre deux noms,FALSE,MOTENTREDEUXNOMS
3581,"French for ""born""",NEE,Foreign language,"""né""",FALSE,NE
3582,French word that's a homophone of 47-Across,NEE,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3573,French 101 pronoun,MOI,Foreign language,101 pronom,FALSE,101PRONOM
3562,French possessive,MES,Foreign language,possessif,FALSE,POSSESSIF
3560,Spanish wool,MERINO,Foreign language,lana,FALSE,LANA
3537,Spanish citrus fruit,LIMON,Foreign language,fruta cítrica,FALSE,FRUTACITRICA
3538,Spanish cowboy,LLANERO,Foreign language,vaquero,FALSE,VAQUERO
3539,Spanish nuts,LOCO,Foreign language,nueces,FALSE,NUECES
3540,Spanish article,LOS,Foreign language,artículo,FALSE,ARTICULO
3541,French ladies,MADAMES,Foreign language,dames,FALSE,DAMES
3542,French month,MAI,Foreign language,mois,FALSE,MOIS
3543,French schoolteacher,MAITRE,Foreign language,instituteur,FALSE,INSTITUTEUR
3544,French teacher,MAITRE,Foreign language,professeur,FALSE,PROFESSEUR
3545,French ailment,MAL,Foreign language,maladie,FALSE,MALADIE
3547,Spanish scarf,MANTILLA,Foreign language,bufanda,FALSE,BUFANDA
3548,"Tuliplike flower whose name means ""butterfly"" in Spanish",MARIPOSA,Foreign language,"Flor tulipal cuyo nombre significa ""mariposa""",FALSE,FLORTULIPALCUYONOMBRESIGNIFICAMARIPOSA
3549,"Like ""Spanish"" in Spanish: Abbr.",MASC,Foreign language,"Como ""español""",FALSE,COMOESPANOL
3550,"""Stupid,"" in Spanish(!)",MENSA,Foreign language,""".",FALSE,
3552,French 42-Across,MER,Foreign language,"['42-Across', 'Translation uncertain']",FALSE,
3555,"French comment that may elicit the reply ""de rien""",MERCI,Foreign language,"Commentaire qui peut provoquer la réponse ""De Rien""",FALSE,COMMENTAIREQUIPEUTPROVOQUERLAREPONSEDERIEN
3556,French family member,MERE,Foreign language,membre de la famille,FALSE,MEMBREDELAFAMILLE
3535,Spanish article,LAS,Foreign language,artículo,FALSE,ARTICULO
3690,Italian sandwich,PANINI,Foreign language,panino,FALSE,PANINO
3691,Spanish term of endearment,PAPI,Foreign language,término,FALSE,TERMINO
3693,French spread,PATE,Foreign language,propagé,FALSE,PROPAGE
3823,Spanish ring maker,TELEFONO,Foreign language,creador de anillos,FALSE,CREADORDEANILLOS
3824,Spanish subjects,TEMAS,Foreign language,sujetos,FALSE,SUJETOS
3825,French possessive,TES,Foreign language,possessif,FALSE,POSSESSIF
3826,French pronoun,TES,Foreign language,pronom,FALSE,PRONOM
3830,Spanish relative,TIA,Foreign language,relativo,FALSE,RELATIVO
3822,"""I love you,"" in Spanish",TEAMO,Foreign language,""".",FALSE,
3831,Some Spanish babysitters,TIAS,Foreign language,['Could not parse foreign language clue'],FALSE,
3833,Land at a Spanish airport?,TIERRA,Foreign language,Desembarcar en,FALSE,DESEMBARCAREN
3834,Spanish accent,TILDE,Foreign language,acento,FALSE,ACENTO
3835,High mark in Spanish class?,TILDE,Foreign language,Marca alta,FALSE,MARCAALTA
3836,Spanish squiggle,TILDE,Foreign language,tirante,FALSE,TIRANTE
3837,Spanish diacritical marks,TILDES,Foreign language,marcas diacríticas,FALSE,MARCASDIACRITICAS
3838,Marks gotten in Spanish class?,TILDES,Foreign language,Las marcas obtenidas,FALSE,LASMARCASOBTENIDAS
3839,Marks in Spanish class,TILDES,Foreign language,Marcas,FALSE,MARCAS
3840,Deep red Spanish wine,TINTO,Foreign language,['Could not parse foreign language clue'],FALSE,
3821,Words on a Spanish valentine,TEAMO,Foreign language,Palabras sobre,FALSE,PALABRASSOBRE
3820,Words to a Spanish sweetheart,TEAMO,Foreign language,Palabras a,FALSE,PALABRASA
3799,Spanish direction,SUR,Foreign language,dirección,FALSE,DIRECCION
3802,French relation,TANTE,Foreign language,"['relation', 'Translation uncertain']",FALSE,
3803,Spanish appetizer,TAPA,Foreign language,aperitivo,FALSE,APERITIVO
3804,Spanish snack,TAPA,Foreign language,bocadillo,FALSE,BOCADILLO
3805,Tidbit at a Spanish bar,TAPA,Foreign language,Tidbit en,FALSE,TIDBITEN
3806,Spanish tidbit,TAPA,Foreign language,golosina,FALSE,GOLOSINA
3807,Spanish morsel,TAPA,Foreign language,bocado,FALSE,BOCADO
3808,Spanish hors d'oeuvre,TAPA,Foreign language,apuros,FALSE,APUROS
3809,Spanish food served on small plates,TAPAS,Foreign language,Alimentos servidos en platos pequeños,FALSE,ALIMENTOSSERVIDOSENPLATOSPEQUENOS
3810,Spanish starters,TAPAS,Foreign language,entrante,FALSE,ENTRANTE
3811,Snacks at a Spanish bar,TAPAS,Foreign language,Bocadillos,FALSE,BOCADILLOS
3812,Spanish finger food,TAPAS,Foreign language,comida,FALSE,COMIDA
3813,Spanish appetizers,TAPAS,Foreign language,aperitivos,FALSE,APERITIVOS
3814,Finger food at a Spanish restaurant,TAPAS,Foreign language,Comida para los dedos,FALSE,COMIDAPARALOSDEDOS
3815,Spanish snacks,TAPAS,Foreign language,bocadillos,FALSE,BOCADILLOS
3816,French pastry,TARTE,Foreign language,pâtisserie,FALSE,PATISSERIE
3797,Spanish misses: Abbr.,SRTAS,Foreign language,"['misses: Abbr.', 'Translation uncertain']",FALSE,
3842,Spanish uncles,TIOS,Foreign language,tío,FALSE,TIO
3844,French pronoun,TOI,Foreign language,pronom,FALSE,PRONOM
3871,"French ""some,"" with ""les""",UNES,Foreign language,"""Certains"" avec ""Les""",FALSE,CERTAINSAVECLES
3872,French individuals,UNES,Foreign language,individus,FALSE,INDIVIDUS
3873,French articles,UNES,Foreign language,Publications,FALSE,PUBLICATIONS
3874,Start for a Spanish count,UNO,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3875,Introduction to a Spanish count?,UNO,Foreign language,Introducción a,FALSE,INTRODUCCIONA
3876,Spanish 30-Down,UNO,Foreign language,30,FALSE,30
3877,Spanish count starter,UNO,Foreign language,conteo de arranque,FALSE,CONTEODEARRANQUE
3878,Start of a Spanish count,UNO,Foreign language,Inicio de,FALSE,INICIODE
3870,French singles,UNES,Foreign language,simple,FALSE,SIMPLE
3879,75-Down Spanish-style,UNO,Foreign language,['Could not parse foreign language clue'],FALSE,
3881,Spanish article,UNO,Foreign language,artículo,FALSE,ARTICULO
3882,Start of a Spanish count,UNODOS,Foreign language,Inicio de,FALSE,INICIODE
3883,"With 9-Down, Spanish leaders?",UNODOS,Foreign language,['Could not parse foreign language clue'],FALSE,
3884,"Spanish for ""some""",UNOS,Foreign language,"""alguno""",FALSE,ALGUNO
3886,Spanish articles,UNOS,Foreign language,artículos,FALSE,ARTICULOS
3888,"Spanish counterpart of the French ""vous""",USTED,Foreign language,"contraparte del ""vous"" francés",FALSE,CONTRAPARTEDELVOUSFRANCES
3889,"""Let's go!,"" in Spanish",VAMOS,Foreign language,""".",FALSE,
3891,Italian wines,VINOS,Foreign language,vini,FALSE,VINI
3880,One of the Spanish,UNO,Foreign language,['Could not parse foreign language clue'],FALSE,
3869,French one,UNE,Foreign language,un,FALSE,UN
3868,"French ""a""",UNE,Foreign language,"""un""",FALSE,UN
3867,French article,UNE,Foreign language,LOREM IPSUM,FALSE,LOREMIPSUM
3846,French friend's pronoun,TOI,Foreign language,pronom de l'ami,FALSE,PRONOMDELAMI
3847,Old Spanish swords,TOLEDOS,Foreign language,['Could not parse foreign language clue'],FALSE,
3848,"15-Across, in Spanish",TORO,Foreign language,"['15-Across', 'Translation uncertain']",FALSE,
3851,Spanish constructions,TORRES,Foreign language,construcciones,FALSE,CONSTRUCCIONES
3852,Battlements in Spanish castles,TORRES,Foreign language,Batallas,FALSE,BATALLAS
3853,Italian III,TRE,Foreign language,"['III', 'Translation uncertain']",FALSE,
3854,101 word in both Spanish and French,TRES,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3855,"French 101 word or, with a different meaning, Spanish 101 word",TRES,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3856,Figure of a Spanish count?,TRES,Foreign language,Cifra de,FALSE,CIFRADE
3857,A Spanish crowd?,TRES,Foreign language,['Could not parse foreign language clue'],FALSE,
3858,Spanish crowd?,TRES,Foreign language,¿multitud?,FALSE,¿MULTITUD
3859,Fountain near the Spanish Steps,TREVI,Foreign language,['Could not parse foreign language clue'],FALSE,
3861,Italian article,UNA,Foreign language,articolo,FALSE,ARTICOLO
3862,"Italian ""a""",UNA,Foreign language,"""UN""",FALSE,UN
3863,Spanish article,UNA,Foreign language,artículo,FALSE,ARTICULO
3864,"A, in Spanish",UNA,Foreign language,"['A', 'Translation uncertain']",FALSE,
3865,"Spanish ""a""",UNA,Foreign language,a,FALSE,A
3866,Italian articles,UNAS,Foreign language,articoli,FALSE,ARTICOLI
3843,French 101 pronoun,TOI,Foreign language,101 pronom,FALSE,101PRONOM
3796,Spanish counterparts of mlles.,SRTAS,Foreign language,contrapartes de mlles.,FALSE,CONTRAPARTESDEMLLES
3795,Spanish girl: Abbr.,SRTA,Foreign language,Chica: Abbr.,FALSE,CHICAABBR
3794,Spanish Mlle.,SRTA,Foreign language,"['Mlle.', 'Translation uncertain']",FALSE,
3721,"Spanish for ""rope""",REATA,Foreign language,"""soga""",FALSE,SOGA
3722,Parish leader,RECTOR,Foreign language,['Could not parse foreign language clue'],FALSE,
3723,Spanish royal,REINA,Foreign language,real,FALSE,REAL
3726,Spanish royalty,REINAS,Foreign language,realeza,FALSE,REALEZA
3727,French royal,REINE,Foreign language,royale,FALSE,ROYALE
3729,French income,RENTE,Foreign language,revenu,FALSE,REVENU
3730,French revenue,RENTE,Foreign language,revenu,FALSE,REVENU
3731,Spanish monarch,REY,Foreign language,monarca,FALSE,MONARCA
3720,Spanish coins of yore,REALS,Foreign language,monedas de antaño,FALSE,MONEDASDEANTANO
3732,Spanish royal,REY,Foreign language,real,FALSE,REAL
3736,Spanish royalty,REYES,Foreign language,realeza,FALSE,REALEZA
3737,Feature on a Spanish map,RIO,Foreign language,Aparecer,FALSE,APARECER
3738,Spanish stream,RIO,Foreign language,arroyo,FALSE,ARROYO
3739,Dry Spanish wine,RIOJA,Foreign language,['Could not parse foreign language clue'],FALSE,
3740,Spanish table wine,RIOJA,Foreign language,vino de mesa,FALSE,VINODEMESA
3741,Red Spanish wine,RIOJA,Foreign language,['Could not parse foreign language clue'],FALSE,
3742,"Spanish wine region, with ""La""",RIOJA,Foreign language,"Región del vino, con ""LA""",FALSE,REGIONDELVINOCONLA
3743,Spanish red wine,RIOJA,Foreign language,vino tinto,FALSE,VINOTINTO
3733,Spanish chess piece,REY,Foreign language,pieza de ajedrez,FALSE,PIEZADEAJEDREZ
