ID,Clue,Word,Class,TranslationStatus
,"Pal, in Paris",AMI,Foreign language,True
,French sweet,AMI,Foreign language,True
,Pal in Paris,AMI,Foreign language,True
,French intimate,AMI,Foreign language,True
,French ally,AMI,Foreign language,True
,French toast recipient?,AMI,Foreign language,True
,Paris associate,AMI,Foreign language,True
,French date,AMI,Foreign language,True
,Lady friend in Italy,AMICA,Foreign language,True
,Italian friend,AMICO,Foreign language,True
,French girlfriend,AMIE,Foreign language,True
,Friend in France,AMIE,Foreign language,True
,Female friend from France,AMIE,Foreign language,False
,French female friend,AMIE,Foreign language,True
,Female friend in France,AMIE,Foreign language,True
,Possible subject of a French scandal,AMIE,Foreign language,True
,French lady friend,AMIE,Foreign language,True
,"French date, often",AMIE,Foreign language,True
,Date in France?,AMIE,Foreign language,True
,"Pen pal in Paris, perhaps",AMIE,Foreign language,True
,French gal pal,AMIE,Foreign language,True
,French companion,AMIE,Foreign language,True
,French pal,AMIE,Foreign language,True
,French friend,AMIE,Foreign language,True
,"French pen pal, maybe",AMIE,Foreign language,True
,Paris pal,AMIE,Foreign language,True
,"Female friend, in France",AMIE,Foreign language,True
,French girlfriends,AMIES,Foreign language,True
,French 38-Down,AMIES,Foreign language,True
,Spanish girlfriend,AMIGA,Foreign language,True
,Some Spanish friends,AMIGAS,Foreign language,False
,"Female friends, in Spain",AMIGAS,Foreign language,True
,French buddies,AMIS,Foreign language,True
,French friends,AMIS,Foreign language,True
,French buds,AMIS,Foreign language,True
,French Facebookers' connections,AMIS,Foreign language,True
,Pals around in Paris?,AMIS,Foreign language,True
,They might give each French kisses,AMIS,Foreign language,False
,"Parts of some circles, in France",AMIS,Foreign language,True
,The Spanish I love?,AMO,Foreign language,False
,"I love, in Mexico",AMO,Foreign language,True
,French mine?,AMOI,Foreign language,True
,French possessive,AMOI,Foreign language,True
,"To me, in Paris",AMOI,Foreign language,True
,"""Help!"" in France",AMOI,Foreign language,True
,French call for help,AMOI,Foreign language,True
,"Mine, in France",AMOI,Foreign language,True
,Spanish love,AMOR,Foreign language,True
,Spanish opposite of odio,AMOR,Foreign language,True
,Spanish sweetheart,AMOR,Foreign language,True
,"Love, Spanish-style",AMOR,Foreign language,False
,Italian ballad subject,AMOR,Foreign language,True
,Love of Spain,AMOR,Foreign language,False
,Subject of an Italian aria,AMORE,Foreign language,False
,"Love, Italian-style",AMORE,Foreign language,False
,Love Italian-style,AMORE,Foreign language,False
,Subject for an Italian aria,AMORE,Foreign language,True
,It may be blind in Italy,AMORE,Foreign language,True
,A many-splendored thing in Italy?,AMORE,Foreign language,True
,"Love, Italian style",AMORE,Foreign language,False
,French affair,AMOUR,Foreign language,True
,French romance,AMOUR,Foreign language,True
,French love affair,AMOUR,Foreign language,True
,French love,AMOUR,Foreign language,True
,"Old, in France",ANCIEN,Foreign language,True
,"Celestial being, in France",ANGE,Foreign language,True
,"Haloed one, in France",ANGE,Foreign language,True
,"Halo wearer, in France",ANGE,Foreign language,True
,"Four quarters, in France",ANNEE,Foreign language,True
,Spanish 101 word with a tilde,ANO,Foreign language,True
,Spanish unit of time with a tilde,ANO,Foreign language,True
,Year in Spain,ANO,Foreign language,True
,"12 months, in Tijuana",ANO,Foreign language,True
,Many meses in Mexico,ANO,Foreign language,True
,"Year, in Mexico",ANO,Foreign language,True
,"2000, e.g., in Spain",ANO,Foreign language,True
,A year in Mexico,ANO,Foreign language,True
,"Years, in Spain",ANOS,Foreign language,True
,Spanish years,ANOS,Foreign language,True
,"A long time, in Mexico",ANOS,Foreign language,True
,Years in Mexico,ANOS,Foreign language,True
,Years in Spain,ANOS,Foreign language,True
,A long time in Mexico,ANOS,Foreign language,True
,Part of a Spanish forest,ARBOL,Foreign language,True
,French weapon,ARME,Foreign language,True
,French force,ARMEE,Foreign language,True
,French military force,ARMEE,Foreign language,True
,"Stop, in France",ARRET,Foreign language,True
,Enthusiastic Spanish cry,ARRIBA,Foreign language,False
,Excited Spanish cry,ARRIBA,Foreign language,False
,Spanish shout of joy,ARRIBA,Foreign language,True
,Exuberant Spanish cry,ARRIBA,Foreign language,False
,Exuberant cry in Mexico,ARRIBA,Foreign language,True
,Spanish rice,ARROZ,Foreign language,True
,Spanish paintings,ARTE,Foreign language,True
,Spanish museum work,ARTE,Foreign language,True
,"With, in France",AVEC,Foreign language,True
,"Dance, in France",BAL,Foreign language,True
,Spanish quarters,BARRIOS,Foreign language,True
,Spanish newborn,BEBE,Foreign language,True
,Spanish infant,BEBE,Foreign language,True
,Italian's word of approval,BELLA,Foreign language,False
,Italian fine?,BENE,Foreign language,True
,"Italian ""well""",BENE,Foreign language,True
,Italian well,BENE,Foreign language,True
,"Kiss, in Spanish",BESO,Foreign language,True
,Spanish kiss,BESO,Foreign language,True
,"Spanish for ""kiss""",BESO,Foreign language,True
,Spanish kisses,BESOS,Foreign language,True
,Paris eateries,BISTROS,Foreign language,True
,"French flag color, in France",BLANC,Foreign language,True
,"Like the sky, in France",BLEU,Foreign language,True
,Spanish tar,BREA,Foreign language,True
,It's good in Mexico,BUENO,Foreign language,True
,Start of a Spanish greeting,BUENOS,Foreign language,True
,"Joe, in France",CAFE,Foreign language,True
,Spanish road,CAMINO,Foreign language,True
,"Italian ""darling""",CARA,Foreign language,True
,"Italian ""dear""",CARA,Foreign language,True
,Italian beloved,CARA,Foreign language,True
,Italian sweetie,CARA,Foreign language,True
,Italian honey,CARA,Foreign language,True
,Italian dearie,CARA,Foreign language,True
,Spanish meat,CARNE,Foreign language,True
,Italian dear,CARO,Foreign language,True
,Italian sweet?,CARO,Foreign language,True
,Italian sweetheart,CARO,Foreign language,True
,Italian term of endearment,CARO,Foreign language,True
,"Italian ""dear""",CARO,Foreign language,True
,Spanish word repeated in a welcoming phrase,CASA,Foreign language,True
,Spanish abode,CASA,Foreign language,True
,Spanish house,CASA,Foreign language,True
,Spanish houses,CASAS,Foreign language,True
,Spanish homes,CASAS,Foreign language,True
,"That, in France",CELA,Foreign language,True
,Italian 100,CENTO,Foreign language,True
,"Spanish for ""basket""",CESTA,Foreign language,True
,Spanish term of affection between young women,CHICA,Foreign language,True
,Spanish girl,CHICA,Foreign language,True
,Spanish boys,CHICOS,Foreign language,True
,Spanish pork sausage,CHORIZO,Foreign language,True
,Spanish/Mexican pastry,CHURRO,Foreign language,False
,Spanish pastry,CHURRO,Foreign language,True
,Italian goodbye,CIAO,Foreign language,True
,"Italian ""bye""",CIAO,Foreign language,True
,"Italian's ""bye""",CIAO,Foreign language,False
,"Inc., in France",CIE,Foreign language,True
,"Co., in France",CIE,Foreign language,True
,"Business firm, in France: Abbr.",CIE,Foreign language,True
,"Five, in French",CINQ,Foreign language,True
,"Spanish for ""how""",COMO,Foreign language,True
,Spanish interrogative,COMO,Foreign language,True
,Spanish greeting,COMOESTA,Foreign language,True
,Spanish 101 question,COMOESTA,Foreign language,True
,It's a thing in Mexico,COSA,Foreign language,True
,"Italian for ""so""",COSI,Foreign language,True
,"Italian for ""baked""",COTTA,Foreign language,True
,Spanish hill,CUESTA,Foreign language,True
,"To say, in Spanish",DECIR,Foreign language,True
,"""You're welcome,"" in Spanish",DENADA,Foreign language,True
,French surname starter,DES,Foreign language,True
,French preposition,DES,Foreign language,True
,French surname start,DES,Foreign language,True
,"From, in France",DES,Foreign language,True
,French pair,DEUX,Foreign language,True
,Italian ten,DIECI,Foreign language,True
,Italian 10,DIECI,Foreign language,True
,Italian God,DIO,Foreign language,True
,"Italian ""god""",DIO,Foreign language,True
,Spanish Almighty,DIOS,Foreign language,True
,Spanish building topper,DOMO,Foreign language,True
,Spanish gentleman,DON,Foreign language,True
,Spanish lord,DON,Foreign language,True
,Spanish lady,DONA,Foreign language,True
,Spanish title,DONA,Foreign language,True
,Spanish woman,DONA,Foreign language,True
,Spanish lady's title,DONA,Foreign language,True
,Italian woman,DONNA,Foreign language,True
,Italian lady,DONNA,Foreign language,True
,Italian ladies,DONNAS,Foreign language,True
,Italian women,DONNAS,Foreign language,True
,Spanish gentlemen,DONS,Foreign language,True
,"Golden, in France",DOR,Foreign language,True
,Spanish-speaking explorer,DORA,Foreign language,False
,Spanish couple,DOS,Foreign language,True
,Spanish company?,DOS,Foreign language,True
,Spanish couple?,DOS,Foreign language,True
,"Back-to-back, in France",DOSADOS,Foreign language,True
,"Legal rights, in France",DROITS,Foreign language,True
,Italian leader,DUCE,Foreign language,True
,Italian dictators,DUCES,Foreign language,True
,Italian leaders,DUCES,Foreign language,True
,Spanish mistress,DUENA,Foreign language,True
,Spanish escort,DUENNA,Foreign language,True
,"Spanish for ""sweet""",DULCE,Foreign language,True
,Spanish peso,DURO,Foreign language,True
,Spanish silver dollar,DURO,Foreign language,True
,Old Spanish coin,DURO,Foreign language,False
,French water,EAU,Foreign language,True
,What's found in the French riviere?,EAU,Foreign language,True
,French quencher,EAU,Foreign language,True
,French waters,EAUX,Foreign language,True
,French bakery offering,ECLAIR,Foreign language,True
,French pastry,ECLAIR,Foreign language,True
,French place of education,ECOLE,Foreign language,True
,French place of learning,ECOLE,Foreign language,True
,French school,ECOLE,Foreign language,True
,"Place to study, in France",ECOLE,Foreign language,True
,French coin of old,ECU,Foreign language,True
,French shield,ECU,Foreign language,True
,French crown,ECU,Foreign language,True
,French coins of yore,ECUS,Foreign language,True
,"Neither more nor less, in France",EGAL,Foreign language,True
,German one,EINS,Foreign language,True
,Woman's name that's also a Spanish pronoun,ELLA,Foreign language,True
,"She, in Spanish",ELLA,Foreign language,True
,"French ""she""",ELLE,Foreign language,True
,International magazine founded in France in 1945,ELLE,Foreign language,True
,"French ""her""",ELLE,Foreign language,True
,"Those girls, in French",ELLES,Foreign language,True
,Kingly title in Spanish,ELREY,Foreign language,True
,French palace,ELYSEE,Foreign language,True
,"As a friend, in France",ENAMI,Foreign language,True
,French pen filler,ENCRE,Foreign language,True
,"Ink, in France",ENCRE,Foreign language,True
,Spanish letters with (or without) tildes,ENES,Foreign language,True
,"13-Across, in French",ENTRE,Foreign language,True
,French preposition,ENTRE,Foreign language,True
,French prefix,ENTRE,Foreign language,True
,"French for ""sword""",EPEE,Foreign language,True
,Spanish pronoun,ESA,Foreign language,True
,"That, in Spanish",ESA,Foreign language,True
,"Spanish ""that""",ESA,Foreign language,True
,Spanish demonstrative,ESA,Foreign language,True
,Spanish 57-Down,ESA,Foreign language,True
,Spanish pronoun,ESAS,Foreign language,True
,Old Spanish gold,ESCUDOS,Foreign language,False
,"That, in Spanish",ESO,Foreign language,True
,"Spanish ""that""",ESO,Foreign language,True
,Spanish demonstrative,ESO,Foreign language,True
,Spanish pronoun,ESO,Foreign language,True
,Spanish for Spanish,ESPANOL,Foreign language,True
,"French ""is""",EST,Foreign language,True
,French direction,EST,Foreign language,True
,"Part of the Spanish conjugation of ""to be""",ESTA,Foreign language,False
,Spanish 101 word,ESTA,Foreign language,True
,Spanish demonstrative,ESTA,Foreign language,True
,"Spanish for ""are""",ESTA,Foreign language,True
,Spanish pronoun,ESTA,Foreign language,True
,Is Spanish?,ESTA,Foreign language,False
,"Spanish form of ""to be""",ESTA,Foreign language,True
,"Form of Spanish ""to be""",ESTA,Foreign language,False
,Spanish 101 verb,ESTA,Foreign language,True
,"""They are,"" in Spanish class",ESTAN,Foreign language,True
,Spanish 101 verb,ESTAR,Foreign language,True
,"Form of the Spanish for ""to be""",ESTAS,Foreign language,True
,"Form of Spanish ""to be""",ESTAS,Foreign language,False
,Spanish 101 conjugation part,ESTAS,Foreign language,True
,Part of a Spanish 101 conjugation,ESTAS,Foreign language,True
,Spanish direction,ESTE,Foreign language,True
,Spanish compass point,ESTE,Foreign language,True
,It's right on a Spanish map,ESTE,Foreign language,True
,French name that sounds like two letters,ESTEE,Foreign language,True
,"This, in Spanish",ESTO,Foreign language,True
,French floor,ETAGE,Foreign language,True
,French story,ETAGE,Foreign language,True
,French level,ETAGE,Foreign language,True
,"Story of a building, in France",ETAGE,Foreign language,True
,"Story, in France",ETAGE,Foreign language,True
,French word whose plural is its English translation backward,ETAT,Foreign language,True
,French political division,ETAT,Foreign language,True
,French government,ETAT,Foreign language,True
,French state,ETAT,Foreign language,True
,"Union member, in France",ETAT,Foreign language,True
,French states,ETATS,Foreign language,True
,French political divisions,ETATS,Foreign language,True
,French summer,ETE,Foreign language,True
,French word with two accents,ETE,Foreign language,True
,French 101 word with two accents,ETE,Foreign language,True
,French quarter?,ETE,Foreign language,True
,French vacation time,ETE,Foreign language,True
,"One of the four seasons, in France",ETE,Foreign language,True
,French summers,ETES,Foreign language,True
,French 101 verb,ETES,Foreign language,True
,French quarters,ETES,Foreign language,True
,French seasons,ETES,Foreign language,True
,French philosopher Gilson,ETIENNE,Foreign language,True
,"Stephen, in France",ETIENNE,Foreign language,True
,French star,ETOILE,Foreign language,True
,French stars,ETOILES,Foreign language,True
,French 101 verb,ETRE,Foreign language,True
,"French ""to be""",ETRE,Foreign language,True
,French soliloquy starter?,ETRE,Foreign language,True
,French word with a circumflex,ETRE,Foreign language,True
,French verb with a circumflex,ETRE,Foreign language,True
,French 101 infinitive,ETRE,Foreign language,True
,French 101 word,ETRE,Foreign language,True
,French auxiliary,ETRE,Foreign language,True
,"To be, in France",ETRE,Foreign language,True
,French beings,ETRES,Foreign language,True
,"& & &, in France",ETS,Foreign language,True
,French spa,EVIAN,Foreign language,True
,French act,FAIT,Foreign language,True
,Start of a Spanish Christmas greeting,FELIZ,Foreign language,True
,Spanish festival,FERIA,Foreign language,True
,Spanish carnival,FERIA,Foreign language,True
,French fire,FEU,Foreign language,True
,Big Spanish celebration,FIESTA,Foreign language,False
,"Set, in French",FIXE,Foreign language,True
,Sweet Spanish dessert,FLAN,Foreign language,False
,Spanish dessert,FLAN,Foreign language,True
,Spanish custard,FLAN,Foreign language,True
,French cop,FLIC,Foreign language,True
,Spanish bloom,FLOR,Foreign language,True
,French brother,FRERE,Foreign language,True
,French family members,FRERES,Foreign language,True
,French cheese,FROMAGE,Foreign language,True
,French cake,GATEAU,Foreign language,True
,French bakery offering,GATEAU,Foreign language,True
,Italian ice cream,GELATO,Foreign language,True
,Italian treat,GELATO,Foreign language,True
,French frost,GELEE,Foreign language,True
,French copper,GENDARME,Foreign language,True
,French cop,GENDARME,Foreign language,True
,French ice cream,GLACE,Foreign language,True
,French dessert,GLACE,Foreign language,True
,Italian dumplings,GNOCCHI,Foreign language,True
,"Fat, in France",GRAS,Foreign language,True
,"Fat, in France",GROSSE,Foreign language,True
,Speak in Spanish,HABLA,Foreign language,True
,French word before cuisine or couture,HAUTE,Foreign language,True
,French high,HAUTE,Foreign language,True
,Spanish greeting,HOLA,Foreign language,True
,Spanish welcome,HOLA,Foreign language,True
,Spanish omelet ingredient,HUEVO,Foreign language,True
,Parts of a Spanish omelet,HUEVOS,Foreign language,True
,Spanish eggs,HUEVOS,Foreign language,True
,"Eight, in France",HUIT,Foreign language,True
,"Here, in Paris",ICI,Foreign language,True
,"French for ""here""",ICI,Foreign language,True
,"French ""present""",ICI,Foreign language,True
,French roll call response,ICI,Foreign language,True
,French 55-Down,ICI,Foreign language,True
,French place,ICI,Foreign language,True
,"Here, in France",ICI,Foreign language,True
,"At this point, in France",ICI,Foreign language,True
,French brainchild,IDEE,Foreign language,True
,French abstraction,IDEE,Foreign language,True
,French noodle product?,IDEE,Foreign language,True
,French notion,IDEE,Foreign language,True
,French notions,IDEES,Foreign language,True
,French suffix that's an anagram of 4-Down,IERE,Foreign language,True
,French suffix with jardin,IERE,Foreign language,True
,French noun suffix,IERE,Foreign language,True
,French suffix,IERE,Foreign language,True
,French pronoun,ILS,Foreign language,True
,Spanish key,ISLA,Foreign language,True
,Spanish getaway locale,ISLA,Foreign language,True
,Spanish vacation site,ISLA,Foreign language,True
,Spanish diminutive,ITA,Foreign language,True
,Gendered Spanish suffix,ITA,Foreign language,False
,Feminine suffix in Spanish names,ITA,Foreign language,True
,Spanish diminutive suffix,ITA,Foreign language,True
,Spanish name suffix,ITA,Foreign language,True
,Spanish female suffix,ITA,Foreign language,True
,Diminutive suffix in Spanish,ITO,Foreign language,True
,Diminutive Spanish name suffix,ITO,Foreign language,False
,Spanish diminutive suffix,ITO,Foreign language,True
,French game,JEU,Foreign language,True
,Spanish article,LAS,Foreign language,True
,Word in Spanish place names,LAS,Foreign language,True
,Spanish citrus fruit,LIMON,Foreign language,True
,Spanish cowboy,LLANERO,Foreign language,True
,Spanish nuts,LOCO,Foreign language,True
,Spanish article,LOS,Foreign language,True
,French ladies,MADAMES,Foreign language,True
,French month,MAI,Foreign language,True
,French schoolteacher,MAITRE,Foreign language,True
,French teacher,MAITRE,Foreign language,True
,French ailment,MAL,Foreign language,True
,Spanish hand,MANO,Foreign language,True
,Spanish scarf,MANTILLA,Foreign language,True
,"Tuliplike flower whose name means ""butterfly"" in Spanish",MARIPOSA,Foreign language,True
,"Like ""Spanish"" in Spanish: Abbr.",MASC,Foreign language,True
,"""Stupid,"" in Spanish(!)",MENSA,Foreign language,True
,French sea,MER,Foreign language,True
,French 42-Across,MER,Foreign language,True
,"French ""thank you""",MERCI,Foreign language,True
,French thanks,MERCI,Foreign language,True
,"French comment that may elicit the reply ""de rien""",MERCI,Foreign language,True
,French family member,MERE,Foreign language,True
,French parent,MERE,Foreign language,True
,French mother,MERE,Foreign language,True
,French mothers,MERES,Foreign language,True
,Spanish wool,MERINO,Foreign language,True
,French seas,MERS,Foreign language,True
,French possessive,MES,Foreign language,True
,"Spanish for ""table""",MESA,Foreign language,True
,Geographical formation whose name is Spanish for 9-Down,MESA,Foreign language,True
,Spanish Surrealist,MIRO,Foreign language,True
,Spanish artist Joan,MIRO,Foreign language,True
,Spanish Surrealist Joan,MIRO,Foreign language,True
,"""The Spanish Playing Cards"" and ""Nude With Mirror""",MIROS,Foreign language,False
,Certain Spanish Surrealist paintings,MIROS,Foreign language,False
,Some Spanish Surrealist paintings,MIROS,Foreign language,False
,Some Spanish Surrealist works,MIROS,Foreign language,False
,French pronoun,MOI,Foreign language,True
,French 101 pronoun,MOI,Foreign language,True
,French possessive,MON,Foreign language,True
,French term of address,MONAMI,Foreign language,True
,French world,MONDE,Foreign language,True
,French peak,MONT,Foreign language,True
,Italian summit,MONTE,Foreign language,True
,"Mitsubishi model whose name means ""huntsman"" in Spanish",MONTERO,Foreign language,True
,French word between two names,NEE,Foreign language,True
,"French for ""born""",NEE,Foreign language,True
,French word that's a homophone of 47-Across,NEE,Foreign language,True
,French word on some wedding announcements,NEE,Foreign language,True
,French word between two surnames,NEE,Foreign language,True
,French word in some bios,NEE,Foreign language,True
,Spanish baby,NENE,Foreign language,True
,Spanish child,NENE,Foreign language,True
,Spanish kids,NENES,Foreign language,True
,Spanish babies,NENES,Foreign language,True
,Spanish infants,NENES,Foreign language,True
,Spanish babes,NENES,Foreign language,True
,"Spanish babies, informally",NENES,Foreign language,True
,"Place name that in Spanish means ""covered in snow""",NEVADA,Foreign language,True
,Spanish girls,NINAS,Foreign language,True
,Spanish youngster,NINO,Foreign language,True
,Spanish boy,NINO,Foreign language,True
,Spanish child,NINO,Foreign language,True
,Spanish boys,NINOS,Foreign language,True
,"Spanish equivalent of ""Basta!""",NOMAS,Foreign language,True
,Spanish uncle?,NOMAS,Foreign language,True
,Italian granny,NONNA,Foreign language,True
,Italian grandpa,NONNO,Foreign language,True
,Italian grandfather,NONNO,Foreign language,True
,Spanish point,NORTE,Foreign language,True
,Spanish eight,OCHO,Foreign language,True
,Spanish skating figure,OCHO,Foreign language,True
,Word from a Spanish count?,OCHO,Foreign language,True
,Big figures in Spanish ice skating,OCHOS,Foreign language,True
,Spanish skating figures,OCHOS,Foreign language,True
,Spanish figure eights,OCHOS,Foreign language,True
,French eye,OEIL,Foreign language,True
,Spanish direction,OESTE,Foreign language,True
,French goose,OIE,Foreign language,True
,French river,OISE,Foreign language,True
,French flower,OISE,Foreign language,True
,French flier,OISEAU,Foreign language,True
,Spanish eye,OJO,Foreign language,True
,Spanish sight seer?,OJO,Foreign language,True
,Spanish seer?,OJO,Foreign language,True
,Spanish eyes,OJOS,Foreign language,True
,Spanish seers?,OJOS,Foreign language,True
,Spanish wave,OLA,Foreign language,True
,Spanish swell,OLA,Foreign language,True
,Spanish waves,OLAS,Foreign language,True
,"Spanish ""huzzah!""",OLE,Foreign language,True
,Spanish cheer,OLE,Foreign language,True
,Spanish root word?,OLE,Foreign language,True
,Spanish pot,OLLA,Foreign language,True
,Spanish stew,OLLA,Foreign language,True
,Spanish crockery,OLLAS,Foreign language,True
,Spanish stews,OLLAS,Foreign language,True
,German granny,OMA,Foreign language,True
,Italian code of silence,OMERTA,Foreign language,True
,French wave,ONDE,Foreign language,True
,French waves,ONDES,Foreign language,True
,French eleven,ONZE,Foreign language,True
,Italian time period,ORA,Foreign language,True
,Italian time unit,ORA,Foreign language,True
,Italian for 95-Down,ORA,Foreign language,True
,French river,ORNE,Foreign language,True
,Spanish gold,ORO,Foreign language,True
,Spanish treasure,ORO,Foreign language,True
,Treasure on the Spanish Main,ORO,Foreign language,False
,Treasure lost on the Spanish Main,ORO,Foreign language,False
,Spanish valuable,ORO,Foreign language,True
,Cargo on the Spanish Main,ORO,Foreign language,False
,Spanish precious metal,ORO,Foreign language,True
,Spanish doubloon material,ORO,Foreign language,True
,Classification for some popular Spanish music,ORO,Foreign language,True
,Spanish riches,ORO,Foreign language,True
,Makeup of a Spanish doubloon,ORO,Foreign language,True
,Spanish Main cargo,ORO,Foreign language,True
,Spanish playing card,ORO,Foreign language,True
,Suit in a Spanish card deck,OROS,Foreign language,True
,Some medals for Spanish athletes,OROS,Foreign language,True
,Rich Spanish decorations,OROS,Foreign language,False
,Spanish card suit,OROS,Foreign language,True
,Only U.S. state motto in Spanish,OROYPLATA,Foreign language,True
,Spanish she-bear,OSA,Foreign language,True
,"Spanish for ""bear""",OSO,Foreign language,True
,Spanish bear,OSO,Foreign language,True
,Spanish bruin,OSO,Foreign language,True
,Some Spanish zoo exhibits,OSOS,Foreign language,False
,Spanish bears,OSOS,Foreign language,True
,Spanish alternative?,OTRA,Foreign language,True
,Check box option on a Spanish survey?,OTRA,Foreign language,True
,Spanish other,OTRA,Foreign language,True
,"Spanish ""other""",OTRO,Foreign language,True
,Spanish alternative?,OTRO,Foreign language,True
,"Spanish ""others""",OTROS,Foreign language,True
,"French ""yes""",OUI,Foreign language,True
,French affirmative,OUI,Foreign language,True
,French vote,OUI,Foreign language,True
,Parlement assent,OUI,Foreign language,False
,French acceptances,OUIS,Foreign language,True
,French assents,OUIS,Foreign language,True
,French yeses,OUIS,Foreign language,True
,French accords?,OUIS,Foreign language,True
,"Spanish ""Hey!""",OYE,Foreign language,True
,"Spanish ""Listen!""",OYE,Foreign language,True
,Spanish attention-getter,OYE,Foreign language,True
,Spanish attention getter,OYE,Foreign language,True
,Spanish clergyman,PADRE,Foreign language,True
,Spanish rice dish,PAELLA,Foreign language,True
,Italian pal,PAISAN,Foreign language,True
,"Bread, in Bologna",PANE,Foreign language,True
,Italian bread,PANE,Foreign language,True
,French door plate,PANE,Foreign language,True
,French door part,PANE,Foreign language,True
,Italian sandwich,PANINI,Foreign language,True
,Spanish term of endearment,PAPI,Foreign language,True
,Spanish step,PASO,Foreign language,True
,French spread,PATE,Foreign language,True
,"Father, in French",PERE,Foreign language,True
,"Senior, in French names",PERE,Foreign language,True
,French homophone of 30-Down,PERE,Foreign language,True
,French father,PERE,Foreign language,True
,"Spanish ""but""",PERO,Foreign language,True
,Old Spanish coin,PESETA,Foreign language,False
,Old Spanish bread,PESETA,Foreign language,False
,Former Spanish coin,PESETA,Foreign language,False
,Pre-euro Spanish coin,PESETA,Foreign language,False
,Spanish bread,PESETAS,Foreign language,True
,Spanish specie,PESETAS,Foreign language,True
,Spanish beans,PESETAS,Foreign language,True
,Spanish cabbage,PESETAS,Foreign language,True
,"Spanish for ""weight""",PESO,Foreign language,True
,"Spanish ""weight""",PESO,Foreign language,True
,Spanish precious metal,PLATA,Foreign language,True
,Spanish beach,PLAYA,Foreign language,True
,Spanish beaches,PLAYAS,Foreign language,True
,Spanish fowl,POLLO,Foreign language,True
,Spanish inn,POSADA,Foreign language,True
,Spanish bridge,PUENTE,Foreign language,True
,Spanish interrogative,QUE,Foreign language,True
,Coin on the Spanish Main,REAL,Foreign language,False
,Old Spanish silver coins,REALES,Foreign language,False
,Old Spanish coins,REALES,Foreign language,False
,Coins in a Spanish treasure,REALES,Foreign language,True
,Spanish coins of yore,REALS,Foreign language,True
,"Spanish for ""rope""",REATA,Foreign language,True
,Parish leader,RECTOR,Foreign language,False
,Spanish royal,REINA,Foreign language,True
,Spanish queen,REINA,Foreign language,True
,Spanish queens,REINAS,Foreign language,True
,Spanish royalty,REINAS,Foreign language,True
,French royal,REINE,Foreign language,True
,French queens,REINES,Foreign language,True
,French income,RENTE,Foreign language,True
,French revenue,RENTE,Foreign language,True
,Spanish monarch,REY,Foreign language,True
,Spanish royal,REY,Foreign language,True
,Spanish chess piece,REY,Foreign language,True
,Spanish king,REY,Foreign language,True
,Spanish kings,REYES,Foreign language,True
,Spanish royalty,REYES,Foreign language,True
,Feature on a Spanish map,RIO,Foreign language,True
,Spanish stream,RIO,Foreign language,True
,Dry Spanish wine,RIOJA,Foreign language,False
,Spanish table wine,RIOJA,Foreign language,True
,Red Spanish wine,RIOJA,Foreign language,False
,"Spanish wine region, with ""La""",RIOJA,Foreign language,True
,Spanish red wine,RIOJA,Foreign language,True
,Spanish wine,RIOJA,Foreign language,True
,Spanish waterways,RIOS,Foreign language,True
,Spanish rivers,RIOS,Foreign language,True
,Spanish streams,RIOS,Foreign language,True
