,number,start_col,start_row,end_col,end_row,clue,"answer (optional column, for checking only)",number_direction,length,answer_certainty,answer_list,placed_answer,coordinate_set,Top_Predicted_Classes
73,5,4,0,4,3,Scatters,SOWS,5-Down,4,,[],,"{(4, 0), (4, 1), (4, 2), (4, 3)}","[('One word synonym', 0.9869111453563566), ('Roman numeral', 0.0130888546436435)]"
118,90,12,13,12,18,Combined,MERGED,90-Down,6,,[],,"{(12, 17), (12, 16), (12, 13), (12, 15), (12, 18), (12, 14)}","[('One word synonym', 0.9869111453563566), ('Roman numeral', 0.0130888546436435)]"
14,31,0,4,3,4,Moor,DOCK,31-Across,4,,[],,"{(2, 4), (0, 4), (3, 4), (1, 4)}","[('One word synonym', 1.0)]"
16,36,12,4,20,4,Bouquet,FRAGRANCE,36-Across,9,,[],,"{(12, 4), (18, 4), (13, 4), (19, 4), (14, 4), (20, 4), (15, 4), (16, 4), (17, 4)}","[('One word synonym', 1.0)]"
41,77,12,11,15,11,Level,TIER,77-Across,4,,[],,"{(15, 11), (12, 11), (13, 11), (14, 11)}","[('One word synonym', 1.0)]"
44,82,7,12,11,12,Suit,BEFIT,82-Across,5,,[],,"{(9, 12), (11, 12), (7, 12), (8, 12), (10, 12)}","[('One word synonym', 1.0)]"
51,96,14,14,16,14,Whiz,ACE,96-Across,3,,[],,"{(16, 14), (14, 14), (15, 14)}","[('One word synonym', 1.0)]"
55,106,0,16,4,16,Edify,TEACH,106-Across,5,,[],,"{(4, 16), (0, 16), (2, 16), (3, 16), (1, 16)}","[('One word synonym', 1.0)]"
60,111,7,17,13,17,Dillydallies,DAWDLES,111-Across,7,,[],,"{(12, 17), (7, 17), (13, 17), (8, 17), (10, 17), (9, 17), (11, 17)}","[('One word synonym', 1.0)]"
67,123,9,20,11,20,Parched,DRY,123-Across,3,,[],,"{(11, 20), (9, 20), (10, 20)}","[('One word synonym', 1.0)]"
79,11,12,0,12,5,Bundles,SHEAFS,11-Down,6,,[],,"{(12, 4), (12, 1), (12, 0), (12, 3), (12, 2), (12, 5)}","[('One word synonym', 1.0)]"
99,49,16,6,16,9,Profess,AVER,49-Down,4,,[],,"{(16, 7), (16, 8), (16, 9), (16, 6)}","[('One word synonym', 1.0)]"
108,70,9,10,9,13,Botch,MUFF,70-Down,4,,[],,"{(9, 10), (9, 11), (9, 12), (9, 13)}","[('One word synonym', 1.0)]"
132,112,10,17,10,20,Loved,DEAR,112-Down,4,,[],,"{(10, 17), (10, 18), (10, 19), (10, 20)}","[('One word synonym', 1.0)]"
62,115,1,18,18,18,Aphorism that's visually depicted five times in this puzzle's grid,ALLROADSLEADTOROME,115-Across,18,,[],,"{(6, 18), (1, 18), (16, 18), (14, 18), (11, 18), (15, 18), (9, 18), (4, 18), (18, 18), (2, 18), (13, 18), (8, 18), (3, 18), (17, 18), (12, 18), (7, 18), (10, 18), (5, 18)}","[('Roman numeral', 0.34), ('Foreign language', 0.17), ('Find name given profession/reference', 0.15)]"
84,20,18,1,18,18,One side of D.C.'s Federal Triangle,PENNSYLVANIAAVENUE,20-Down,18,,[],,"{(18, 4), (18, 17), (18, 1), (18, 7), (18, 10), (18, 16), (18, 13), (18, 3), (18, 9), (18, 6), (18, 12), (18, 18), (18, 2), (18, 15), (18, 5), (18, 11), (18, 8), (18, 14)}","[('Find name given profession/reference', 0.44), ('Roman numeral', 0.14), ('Acronym/short form answer', 0.09)]"
53,98,0,15,15,15,Habitual fear of being exposed as a fraud,IMPOSTERSYNDROME,98-Across,16,,[],,"{(10, 15), (5, 15), (6, 15), (1, 15), (14, 15), (9, 15), (4, 15), (0, 15), (11, 15), (12, 15), (7, 15), (2, 15), (13, 15), (8, 15), (3, 15), (15, 15)}","[('Roman numeral', 0.31), ('Foreign language', 0.2), ('Find name given profession/reference', 0.16)]"
81,13,15,0,15,15,Home of the Simpson and Flanders households,EVERGREENTERRACE,13-Down,16,,[],,"{(15, 5), (15, 11), (15, 8), (15, 14), (15, 4), (15, 1), (15, 7), (15, 13), (15, 10), (15, 0), (15, 6), (15, 3), (15, 9), (15, 12), (15, 2), (15, 15)}","[('Find name given profession/reference', 0.47), ('Roman numeral', 0.18), ('Foreign language', 0.09)]"
8,22,0,2,13,2,One prone to idol thoughts,HEROWORSHIPPER,22-Across,14,,[],,"{(6, 2), (1, 2), (9, 2), (4, 2), (0, 2), (11, 2), (12, 2), (7, 2), (2, 2), (13, 2), (8, 2), (3, 2), (10, 2), (5, 2)}","[('Foreign language', 0.25), ('Pun indicated by question mark', 0.16), ('Clever synonyms and examples', 0.12)]"
71,3,2,0,2,13,Some black-and-white pictures,RORSCHACHCARDS,3-Down,14,,[],,"{(2, 4), (2, 1), (2, 7), (2, 10), (2, 0), (2, 13), (2, 3), (2, 9), (2, 6), (2, 12), (2, 2), (2, 5), (2, 11), (2, 8)}","[('Foreign language', 0.2), ('Acronym/short form answer', 0.17), ('Roman numeral', 0.16)]"
47,88,4,13,13,13,"Edith Wharton's ""ruin of a man""",ETHANFROME,88-Across,10,,[],,"{(9, 13), (4, 13), (11, 13), (12, 13), (7, 13), (10, 13), (5, 13), (8, 13), (13, 13), (6, 13)}","[('Find name given profession/reference', 0.37), ('Roman numeral', 0.27), ('Foreign language', 0.12)]"
93,37,13,4,13,13,Noted shopping mecca,RODEODRIVE,37-Down,10,,[],,"{(13, 8), (13, 4), (13, 7), (13, 10), (13, 13), (13, 9), (13, 6), (13, 12), (13, 5), (13, 11)}","[('Foreign language', 0.39), ('Find first name given last name', 0.16), ('Straight definition', 0.13)]"
16,36,12,4,20,4,Bouquet,FRAGRANCE,36-Across,9,,[],,"{(12, 4), (18, 4), (13, 4), (19, 4), (14, 4), (20, 4), (15, 4), (16, 4), (17, 4)}","[('One word synonym', 1.0)]"
36,68,2,10,10,10,English landing spot,AERODROME,68-Across,9,,[],,"{(9, 10), (4, 10), (7, 10), (2, 10), (8, 10), (3, 10), (10, 10), (5, 10), (6, 10)}","[('Foreign language', 0.38), ('Find first name given last name', 0.15), ('Straight definition', 0.13)]"
87,24,10,2,10,10,"Where all the people that come and go stop and say ""hello,"" in a 1967 hit",PENNYLANE,24-Down,9,,[],,"{(10, 5), (10, 8), (10, 4), (10, 7), (10, 10), (10, 6), (10, 3), (10, 9), (10, 2)}","[('Find name given profession/reference', 0.2), ('Roman numeral', 0.18), ('Full name of speaker given quote', 0.1)]"
112,80,4,12,4,20,Downwind locales for ships,LEESHORES,80-Down,9,,[],,"{(4, 16), (4, 13), (4, 19), (4, 12), (4, 15), (4, 18), (4, 14), (4, 17), (4, 20)}","[('Roman numeral', 0.28), ('Foreign language', 0.18), ('Biblical', 0.11)]"
25,51,0,7,7,7,Two-colored,BICHROME,51-Across,8,,[],,"{(0, 7), (7, 7), (2, 7), (3, 7), (5, 7), (6, 7), (1, 7), (4, 7)}","[('One word synonym', 0.26), ('Pun indicated by question mark', 0.25), ('Roman numeral', 0.13541316526610644)]"
75,7,7,0,7,7,"Easternmost leg of I-90, familiarly",MASSPIKE,7-Down,8,,[],,"{(7, 4), (7, 1), (7, 7), (7, 0), (7, 3), (7, 6), (7, 2), (7, 5)}","[('Roman numeral', 0.26), ('Find name given profession/reference', 0.2), ('Foreign language', 0.16)]"
13,30,14,3,20,3,"""Never you worry""",FRETNOT,30-Across,7,,[],,"{(16, 3), (17, 3), (18, 3), (19, 3), (14, 3), (20, 3), (15, 3)}","[('Quote phrase to word', 0.89), ('Foreign language', 0.05), ('Basic fill in the blank', 0.03)]"
48,91,15,13,20,13,Nautical agreement,AYEAYE,91-Across,6,,[],,"{(16, 13), (17, 13), (20, 13), (15, 13), (18, 13), (19, 13)}","[('Colloquial translation of phrase', 0.42774040277823133), ('Example of a class', 0.23717954859427937), ('Straight definition', 0.14903953200781758)]"
